target_name_ullyses,target_name_simbad,target_classification,simbad_link,targ_ra,targ_dec,coordinate_epoch,source_catalog,host_galaxy_name,host_cluster_name,d_gaia,d_gaia_err,spectral_type,spectral_type_ref,temp_class,lum_class,star_teff,star_teff_ref,star_luminosity,star_luminosity_ref,star_mass,star_mass_ref,surface_gravity,surface_gravity_ref,rotation_period,rotation_period_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,star_radius,star_radius_ref,rate_accretion,rate_accretion_ref,extinction_ebmv,extinction_ebmv_ref,age,age_ref,metallicity,metallicity_ref,fuv_mag,nuv_mag,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,i_mag,i_mag_ref,gaia_id,gaia_parallax,gaia_parallax_err,known_binary,known_binary_ref,is_variable,is_monitor_targ,extended,Extra,radial_velocity,radial_velocity_ref,gaia_g_mean_mag,gaia_bp_mean_mag,gaia_rp_mean_mag
CVSO 109,CVSO 109,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-66,83.13610687,-1.229437464,2016,2005AJ....129..935C,MW,Ori OB1b,425.5138079,60.99978805,M0,2005AJ....129..935C,,,3850,2005AJ....129..935C,0.17,2005AJ....129..935C,0.56,2005AJ....129..935C,,,,,,,,,2.73,2005AJ....129..935C,-7.6,2005AJ....129..935C,0,2005AJ....129..935C,0.8,2005AJ....129..935C,,,,,14.5,2005AJ....129..935C,,,13.97,none,,,Gaia DR3 3217630378215871232,2.3501,0.3369,none,none,TRUE,FALSE,FALSE,FALSE,16.9,2020AJ....160..120J,13.79141426,14.18611622,12.42665958
CVSO 90,CVSO 90,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+1,82.83596192,-0.822183962,2016,2005AJ....129..935C,MW,Ori OB1b,343.5599684,3.895103912,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,-0.26,2005AJ....129..935C,0.79,2005AJ....129..935C,,,,,,,,,1.5,2005AJ....129..935C,-7.75,2005AJ....129..935C,0,2005AJ....129..935C,5.04,2005AJ....129..935C,,,,,14.02,2005AJ....129..935C,,,14.61,none,,,Gaia DR3 3220661529910667904,2.9107,0.033,none,none,TRUE,FALSE,FALSE,FALSE,20.7,2020AJ....160..120J,14.5280695,15.15881252,13.66796398
CVSO 146,CVSO 146,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-73,83.94168448,-0.964513832,2016,2005AJ....129..935C,MW,Ori OB1b,336.6890004,1.723064141,K6+K6,2005AJ....129..935C,,,4205,2005AJ....129..935C,0.12,2005AJ....129..935C,0.92,2005AJ....129..935C,,,,,,,,,2.17,2005AJ....129..935C,-8.06,2005AJ....129..935C,0.032,2005AJ....129..935C,2.01,2005AJ....129..935C,,,,,15.25,2005AJ....129..935C,,,14.01,none,,,Gaia DR3 3217657011309526016,2.9701,0.0152,TRUE,2005AJ....129..935C,TRUE,FALSE,FALSE,FALSE,17.8,2020AJ....160..120J,13.44785023,14.26192188,12.52723122
V505 ORI,V505 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+V505+Ori,84.61357213,-2.752699988,2016,2016ApJ...829...38M,MW,Sigma Ori,398.9786147,3.979598376,K6.0,2016ApJ...829...38M,,,4020,2016ApJ...829...38M,,,0.754,2016ApJ...829...38M,,,,,,,,,1.37,2016ApJ...829...38M,-8.54,2016ApJ...829...38M,0,2016ApJ...829...38M,6.5,2016ApJ...829...38M,,,,,,,,,14.16,none,,,Gaia DR3 3216107490187638784,2.5064,0.025,none,none,TRUE,FALSE,FALSE,FALSE,30.3,2020AJ....160..120J,14.51813602,15.39472008,13.52348518
TX Ori,TX Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=V*+TX+Ori,84.64037132,-2.737270497,2016,2016ApJ...829...38M,MW,Sigma Ori,404.8746913,36.55494399,K4.5,2016ApJ...829...38M,,,4330,2016ApJ...829...38M,,,1.087,2016ApJ...829...38M,,,,,,,,,2.85,2016ApJ...829...38M,-8.13,2016ApJ...829...38M,0,2016ApJ...829...38M,1.03,2016ApJ...829...38M,,,,,13.75,none,,,12.06,none,,,Gaia DR3 3216108997720732544,2.4699,0.223,none,none,TRUE,FALSE,FALSE,FALSE,31.5,2020AJ....160..120J,12.35545826,13.21104336,11.47868919
CVSO 104,CVSO 104,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-64,83.026605,-1.183367211,2016,2005AJ....129..935C,MW,Ori OB1b,366.3540445,3.999615522,M0+M2,2021A&A...656A.138F,,,4060,2005AJ....129..935C,-0.12,2005AJ....129..935C,0.77,2005AJ....129..935C,,,,,,,,,1.76,2005AJ....129..935C,-8.12,2005AJ....129..935C,0,2005AJ....129..935C,2.76,2005AJ....129..935C,,,,,14.93,2005AJ....129..935C,,,14.22,none,,,Gaia DR3 3217634157789741952,2.7296,0.0298,TRUE,2021A&A...656A.138F,TRUE,FALSE,FALSE,FALSE,15.5,2020AJ....160..120J,14.4547081,15.24219418,13.39810467
CVSO 36,CVSO 36B,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=CVSO+36,81.45987572,1.826958533,2016,2005AJ....129..935C,MW,Ori OB1a,340.9827122,3.081134065,M3,2005AJ....129..935C,,,3470,2005AJ....129..935C,-0.68,2005AJ....129..935C,0.34,2005AJ....129..935C,,,,,,,,,1.28,2005AJ....129..935C,-8.44,2005AJ....129..935C,0,2005AJ....129..935C,2.95,2005AJ....129..935C,,,,,,,,,16.07,none,,,Gaia DR3 3222268122557250304,2.9327,0.0265,none,none,TRUE,FALSE,FALSE,FALSE,19.8,2020AJ....160..120J,15.05605888,16.25941277,13.95809937
V510 ORI,V510 Ori,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Haro+5-27,84.91595033,-2.522740869,2016,2016ApJ...829...38M,MW,Sigma Ori,396.6365223,4.216190226,K5.5,2016ApJ...829...38M,,,4140,2016ApJ...829...38M,,,0.875,2016ApJ...829...38M,,,,,,,,,1.4,2016ApJ...829...38M,-8.38,2016ApJ...829...38M,0.048,2016ApJ...829...38M,6.99,2016ApJ...829...38M,,,,,14.59,2005AJ....129..935C,,,14.3,none,,,Gaia DR3 3216493758070824064,2.5212,0.0268,none,none,TRUE,FALSE,FALSE,FALSE,33.4,2020AJ....160..120J,13.68946075,14.29975319,12.86629772
CVSO 107,CVSO 107,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+4,83.10742912,-0.614828642,2016,2005AJ....129..935C,MW,Ori OB1b,335.0869551,2.537601844,K7,2005AJ....129..935C,,,4060,2005AJ....129..935C,0.0086,2005AJ....129..935C,0.77,2005AJ....129..935C,,,,,,,,,2.04,2005AJ....129..935C,-7.96,2005AJ....129..935C,0.103,2005AJ....129..935C,2.12,2005AJ....129..935C,,,,,15.24,2005AJ....129..935C,,,14.78,none,,,Gaia DR3 3220694442244758784,2.9843,0.0226,none,none,TRUE,FALSE,FALSE,FALSE,17.5,2020AJ....160..120J,14.16493034,14.99910641,13.20381641
CVSO 165,CVSO 165,T Tauri star,http://simbad.cds.unistra.fr/simbad/sim-id?Ident=Kiso+A-0904+76,84.76072363,-1.342346479,2016,2005AJ....129..935C,MW,Ori OB1b,315.2982722,20.25042819,K6,2005AJ....129..935C,,,4205,2005AJ....129..935C,0.17,2005AJ....129..935C,0.91,2005AJ....129..935C,,,,,,,,,2.29,2005AJ....129..935C,-8.43,2005AJ....129..935C,0,2005AJ....129..935C,1.72,2005AJ....129..935C,,,,,15.25,2005AJ....129..935C,,,13.68,none,,,Gaia DR3 3217473702105162752,3.1716,0.2037,none,none,TRUE,FALSE,FALSE,FALSE,27.4,2020AJ....160..120J,13.3843956,14.04236794,12.39279461
