Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name
LE4X06010,AZV-493,19.3270293,-73.297949,0,7/2/20 21:52,7/2/20 22:02,432.032,COS   ,PSA,G130M,1291,15837,7/3/20 2:24,LE4X06010
LE4X06020,AZV-493,19.3270293,-73.297949,0,7/2/20 22:07,7/2/20 23:37,1424.128,COS   ,PSA,G160M,1611,15837,7/3/20 2:31,LE4X06020
LE4X13010,LIN-508,18.7292489,-72.3605848,0,7/2/20 18:45,7/2/20 18:59,676.032,COS   ,PSA,G130M,1291,15837,7/3/20 2:28,LE4X13010
LE4X13020,LIN-508,18.7292489,-72.3605848,0,7/2/20 19:04,7/2/20 20:30,1152.064,COS   ,PSA,G160M,1611,15837,7/3/20 2:29,LE4X13020
LE4X13QAQ,LIN-508,18.7292489,-72.3605848,0,7/2/20 18:39,7/2/20 18:39,15,COS   ,PSA,G130M,1291,15837,7/3/20 2:19,
LE4X13QBQ,LIN-508,18.7292489,-72.3605848,0,7/2/20 18:43,7/2/20 18:43,15,COS   ,PSA,G130M,1291,15837,7/3/20 2:19,
LE4X12010,MPG-396,14.7620878,-72.1763712,0,6/27/20 21:20,6/27/20 21:34,428.096,COS   ,PSA,G160M,1533,15837,6/28/20 1:49,LE4X12010
LE4X12020,MPG-396,14.7620878,-72.1763712,0,6/27/20 21:37,6/27/20 22:56,1032.096,COS   ,PSA,G160M,1611,15837,6/28/20 1:54,LE4X12020
LE4X12I3Q,MPG-396,14.7620878,-72.1763712,0,6/27/20 21:12,6/27/20 21:12,16,COS   ,PSA,G130M,1291,15837,6/28/20 1:40,
LE4X12I4Q,MPG-396,14.7620878,-72.1763712,0,6/27/20 21:16,6/27/20 21:16,16,COS   ,PSA,G130M,1291,15837,6/28/20 1:40,
LE4X05010,OGLE-J004942.75-731717.7,12.4281038,-73.2883848,0,6/21/20 21:46,6/21/20 21:57,496.032,COS   ,PSA,G130M,1291,15837,6/21/20 23:53,LE4X05010
LE4X05020,OGLE-J004942.75-731717.7,12.4281038,-73.2883848,0,6/21/20 22:32,6/21/20 23:29,1356.032,COS   ,PSA,G160M,1611,15837,6/22/20 0:19,LE4X05020
LE4X05LEQ,OGLE-J004942.75-731717.7,12.4281038,-73.2883848,0,6/21/20 21:41,6/21/20 21:41,10,COS   ,PSA,G130M,1291,15837,6/21/20 23:50,
LE4X05LFQ,OGLE-J004942.75-731717.7,12.4281038,-73.2883848,0,6/21/20 21:44,6/21/20 21:44,10,COS   ,PSA,G130M,1291,15837,6/21/20 23:50,
LE4X11010,OGLE-SMC-SC6-246635,13.3035582,-72.6166572,0,6/27/20 19:02,6/27/20 19:18,528.064,COS   ,PSA,G160M,1533,15837,6/28/20 1:51,LE4X11010
LE4X11020,OGLE-SMC-SC6-246635,13.3035582,-72.6166572,0,6/27/20 19:35,6/27/20 19:58,928.064,COS   ,PSA,G160M,1611,15837,6/28/20 1:51,LE4X11020
LE4X11HKQ,OGLE-SMC-SC6-246635,13.3035582,-72.6166572,0,6/27/20 18:55,6/27/20 18:55,15,COS   ,PSA,G130M,1291,15837,6/28/20 1:40,
LE4X11HLQ,OGLE-SMC-SC6-246635,13.3035582,-72.6166572,0,6/27/20 18:58,6/27/20 18:58,10,COS   ,PSA,G130M,1291,15837,6/28/20 1:40,
LB2A14010,CL-NGC-346-MPG-682,14.827625,-72.1861111,5,11/1/09 1:18,11/1/09 1:24,360,COS   ,PSA,G130M,1291,11625,11/1/10 5:00,
LB2A14020,CL-NGC-346-MPG-682,14.827625,-72.1861111,5,11/1/09 1:29,11/1/09 1:35,360.032,COS   ,PSA,G130M,1327,11625,11/1/10 5:01,
LB2A14030,CL-NGC-346-MPG-682,14.827625,-72.1861111,5,11/1/09 1:40,11/1/09 1:49,560.032,COS   ,PSA,G160M,1577,11625,11/1/10 5:01,
LB2A14040,CL-NGC-346-MPG-682,14.827625,-72.1861111,5,11/1/09 1:54,11/1/09 2:03,560.032,COS   ,PSA,G160M,1623,11625,11/1/10 5:02,
LB2A04010,AZV-429,16.99945833,-72.01497222,5,2009-12-21T09:41:49.563000,2009-12-21T09:47:49.563000,360.032,COS   ,PSA,G130M,1291,11625,2010-12-21T17:46:22.693000,LB2A04010
LB2A04020,AZV-429,16.99945833,-72.01497222,5,2009-12-21T10:23:56.570000,2009-12-21T10:29:56.570000,360.032,COS   ,PSA,G130M,1327,11625,2010-12-21T17:46:37.447000,LB2A04020
LB2A04030,AZV-429,16.99945833,-72.01497222,5,2009-12-21T10:35:09.563000,2009-12-21T10:44:24.563000,555.04,COS   ,PSA,G160M,1577,11625,2010-12-21T17:55:21.943000,LB2A04030
LB2A04040,AZV-429,16.99945833,-72.01497222,5,2009-12-21T10:51:23.580000,2009-12-21T11:00:38.580000,555.008,COS   ,PSA,G160M,1623,11625,2010-12-21T17:55:32.920000,LB2A04040
LB2A04DXQ,AZV-429,16.99945833,-72.01497222,5,2009-12-21T09:29:01.010000,2009-12-21T09:35:23.010000,382,COS   ,PSA,G130M,1291,11625,2010-12-21T17:34:19.553000,
LB2A04DYQ,AZV-429,16.99945833,-72.01497222,5,2009-12-21T09:36:16.450000,2009-12-21T09:38:08.450000,112,COS   ,PSA,G130M,1291,11625,2010-12-21T17:34:35.110000,
LB2A16010,AZV-77,12.63958333,-72.79569444,5,2010-04-22T21:28:32.797000,2010-04-22T21:33:56.797000,324.032,COS   ,PSA,G130M,1291,11625,2011-04-23T01:43:39.017000,LB2A16010
LB2A16020,AZV-77,12.63958333,-72.79569444,5,2010-04-22T22:11:19.803000,2010-04-22T22:16:41.803000,322.016,COS   ,PSA,G130M,1327,11625,2011-04-23T01:53:35.273000,LB2A16020
LB2A16030,AZV-77,12.63958333,-72.79569444,5,2010-04-22T22:48:26.813000,2010-04-22T22:58:26.813000,600.192,COS   ,PSA,G160M,1577,11625,2011-04-23T01:54:29.097000,LB2A16030
LB2A16040,AZV-77,12.63958333,-72.79569444,5,2010-04-22T23:03:18.813000,2010-04-22T23:13:18.813000,600.192,COS   ,PSA,G160M,1623,11625,2011-04-23T02:04:29.423000,LB2A16040
LB2A22010,AZV-439,17.21295833,-71.83094444,5,2010-08-02T21:34:52.797000,2010-08-02T21:40:52.797000,360.032,COS   ,PSA,G130M,1291,11625,2011-08-03T14:57:26,LB2A22010
LB2A22020,AZV-439,17.21295833,-71.83094444,5,2010-08-02T22:09:51.803000,2010-08-02T22:15:51.803000,360.032,COS   ,PSA,G130M,1327,11625,2011-08-03T14:57:52,LB2A22020
