Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR
Sz68                   ,J15451286-3417305,HT Lup,15h45m12.87s,-34d17m30.8s,Lupus I  ,150,K2  ,1.4,-8.24,1,12.47,10.224,2,0,0,0,0,0,0,0,0,14604|15070,COS/G130M/G140L/G160M- STIS/G230L/G230M/G430L,3
RXJ1556.1-3655,J15560210-3655282,Wray 15-1384,15h56m02.09s,-36d55m28.3s,Lupus II,150,M1,0.5,-7.92,1,14.91,13.85,1,3,1,4,5.25,0.29,6,1,7,,,
Sz82,J15560921-3756057,IM Lup,15h56m09.18s,-37d56m06.1s,Lupus II,150,K5,0.95,-8.04,0.9,11.99,11.93,1,3,1,4,5.07,0.3,5,1,6,,,
SSTc2dJ160830.7-382827 ,J16083070-3828268,MJS2008-50,16h08m30.7s,-38d28m26.8s,Lupus III,200,K2  ,1.4,-8.96,0.2,11.44,11.15,2,0,0,0,0,0,0,0,0,14604,COS/G130M/G140L/G160M-STIS/G230L/G430L,3
SSTc2dJ161243.8-381503,J16124373-3815031,MJS2008-137,16h12m43.75s,-38d15m03.3s,Lupus III,200,M1,0.44,-8.76,0.8,13.89,13.44,1,7,1,8,10.37,0.43,11,1,12,,,
SSTc2dJ161344.1-373646,J16134410-3736462,MJS2008-141,16h13m44.11s,-37d36m46.4s,Lupus III,200,M5,0.16,-8.94,0.6,17.79,17.32,1,6,1,7,8.71,0.42,9,1,10,16479,,
Sz100,J16082576-3906011,MJS2008-43,16h08m25.76s,-39d06m01.1s,Lupus III,200,M5.5,0.16,-9.44,0,15.92,15.43,1,4,1,5,4.91,0.38,5,1,6,,,
Sz103,J16083026-3906111,HBC 618,16h08m30.26s,-39d06m11.1s,Lupus III,200,M4,0.22,-8.99,0.7,11.69,11.14,1,8,1,9,12.36,0.48,13,1,14,,,
Sz104,J16083081-3905488,MJS2008-51,16h08m30.81s,-39d05m48.8s,Lupus III,200,M5,0.16,-9.75,0,15.93,15.25,1,6,1,7,8.55,0.5,9,1,10,,,
Sz110,J16085157-3903177,V1193 Sco,16h08m51.57s,-39d03m17.7s,Lupus III,200,M4,0.22,-8.53,0,14.51,14.58,1,1,1,2,1.28,0.23,2,1,3,,,
Sz111,J16085468-3937431,HBC 622,16h08m54.69s,-39d37m43.1s,Lupus III,200,M1,0.47,-9.12,0,14.27,13.98,1,2,1,3,2.89,0.3,3,1,4,16479,,
Sz112,J16085553-3902339,MJS2008-73,16h08m55.52s,-39d02m33.9s,Lupus III,200,M5,0.17,-9.64,0,16,15.39,1,5,1,6,7,0.45,7,1,8,,,
Sz114,J16090185-3905124,V908 Sco,16h09m01.84s,-39d05m12.5s,Lupus III,200,M4.8,0.21,-8.96,0.3,14.46,14.12,1,3,1,4,4.35,0.33,5,1,6,,,
Sz115,J16090621-3908518,MJS2008-82,16h09m06.21s,-39d08m51.8s,Lupus III,200,M4.5,0.19,-9.24,0.5,16.09,15.48,1,8,1,9,11.82,0.5,12,1,13,,,
Sz117,J16094434-3913301,HBC 626,16h09m44.34s,-39d13m30.3s,Lupus III,200,M3.5,0.26,-8.61,0.5,14.81,14.59,1,3,1,4,3.82,0.3,4,1,5,,,
Sz97,J16082180-3904214,MJS2008-40,16h08m21.79s,-39d04m21.5s,Lupus III,200,M4,0.23,-9.53,0,15.15,14.61,1,4,1,5,5.75,0.41,6,1,7,,,
Sz98,J16082249-3904464,V1279 Sco,16h08m22.5s,-39d04m46s,Lupus III,200,K7,0.7,-7.23,1,13.27,13.66,1,5,1,6,8.86,0.22,9,1,10,,,
Sz99,J16082404-3905494,MJS2008-42,16h08m24.04s,-39d05m49.4s,Lupus III,200,M4,0.23,-9.41,0,16.47,16,1,3,1,4,4.67,0.37,5,1,6,,,
SSTc2dJ160000.6-422158,J16000060-4221567,MJS2008-144,16h00m00.62s,-42d21m57.5s,Lupus IV,150,M4.5,0.2,-9.81,0,16.57,15.85,1,4,1,5,5.56,0.38,6,1,7,16479,,
Sz129,J15591647-4157102,HBC 609,15h59m16.48s,-41d57m10.3s,Lupus IV,150,K7,0.79,-8.4,0.9,12.28,12,1,6,1,7,10.52,0.39,11,1,12,,,
Sz130,J16003103-4143369,HBC 610,16h00m31.05s,-41d43m37.2s,Lupus IV,150,M2,0.41,-9.19,0,15.05,14.71,1,2,1,3,2.03,0.26,2,1,3,16479,,
MY Lup                 ,J16004452-4155310,MJS2008-150,16h00m44.53s,-41d55m31.2s,Lupus IV ,150,K0  ,1.06,-9.67,1.3,13.42,12.17,2,0,0,0,0,0,0,0,0,14604,COS/G130M/G140L/G160M-STIS/G230L/G430L,3
RY Lup                 ,J15592838-4021513,HBC 252,15h59m28.39s,-40d21m51.3s,Lupus IV ,150,K2  ,1.4,-8.19,0.4,9.81,9.9,2,0,0,0,0,0,0,0,0,8205|14469,COS/G130M/G140L/G160M- STIS/G140L/G230L/G230MB/G430L,3
CVSO-17,J05230470+0137148,,5h23m04.72s,1d37m15.3s,Ori OB1a,330,M3,0.33,-9.22,0,16.52,16.16,1,6,1,7,8.46,0.57,9,1,7,16115,,2
CVSO-36,J05255035+0149370,,5h25m50.37s,1d49m37.3s,Ori OB1a,330,M3,0.34,-8.44,0,15.95,16.07,1,3,1,4,4.29,0.44,5,1,4,16115,,2
CVSO-104,J05320638-0111000,,5h32m06.49s,-1d11m00.8s,Ori OB1b,440,K7,0.77,-8.12,0,14.14,14.22,1,3,1,4,4,0.45,4,1,4,16115,,2
CVSO-107,J05322578-0036533,,5h32m25.79s,-0d36m53.4s,Ori OB1b,440,K7,0.77,-7.96,0.32,14.4,14.78,1,4,1,5,6.41,0.51,7,1,5,16115,,2
CVSO-109,J05323265-0113461,V462 Ori,5h32m32.66s,-1d13m46.1s,Ori OB1b,440,M0,0.56,-7.6,0,13.62,13.97,1,1,1,2,1.71,0.29,2,1,2,16115,COS/G160M,2
CVSO-146,J05354600-0057522,V499 Ori,5h35m46.01s,-0d57m52.2s,Ori OB1b,440,K6,0.92,-8.06,0.1,13.7,14.01,1,3,1,4,4.61,0.47,5,1,4,16113,,2
CVSO-165,J05390257-0120323,,5h39m02.57s,-1d20m32.3s,Ori OB1b,440,K6,0.91,-8.43,0,14.13,13.68,1,4,1,5,7.15,0.64,7,1,5,16114,,2
CVSO-176,J05402414-0031213,V609 Ori,5h40m24.15s,-0d31m21.3s,Ori OB1b,440,M3,0.35,-8.37,0,15.3,15.65,1,4,1,5,6.37,0.59,7,1,5,16115,,2
CVSO-58,J05292326-0125153,,5h29m23.26s,-1d25m15.5s,Ori OB1b,440,K7,0.78,-8.35,0.12,14.63,14.93,1,5,1,6,8.01,0.65,8,1,6,16114,COS/G160M,2
CVSO-90,J05312062-0049197,,5h31m20.63s,-0d49m19.8s,Ori OB1b,440,K7,0.79,-7.75,0,13.64,14.61,1,2,1,3,2.14,0.32,2,1,3,16114,,2
V-TX-ORI,J05383368-0244141,SO583,5h38m33.69s,-2d44m14.1s,Sigma Ori,385,K4.5,1.087,-8.13,0,13.75,12.06,1,3,1,4,3.23,0.39,4,1,4,16113,,2
V505-ORI,J05382725-0245096,SO518,5h38m27.26s,-2d45m09.7s,Sigma Ori,385,K6.0,0.754,-8.54,0,14.1,14.16,1,3,1,4,3.49,0.36,3,1,4,16113|16594,,2
V510-ORI,J05393982-0231217,SO1153,5h39m39.83s,-2d31m21.9s,Sigma Ori,385,K5.5,0.875,-8.38,0.15,14.59,14.3,1,4,1,5,5.07,0.5,5,1,5,16113,,2
AA Tau,J04345542+2428531,HBC 63,4h34m55.42s,+24d28m52.8s,Taurus,140,K7,0.8,-7.82,1.9,13.14,12.2,2,0,0,0,0,0,0,0,0,11616|12876|15070,COS/G130M/G160M-STIS/E230M/G230L/G430L/G230M,3
DE Tau,J04215563+2755060,,4h21m55.69s,+27d55m06.1s,Taurus,140,M2,0.4,-7.55,0.9,15.18,13.8,2,0,0,0,0,0,0,0,0,8628|11616,COS/G130M/G160M-STIS/E230M/G230L/G430L/G230M,3
DK Tau A,,,4h30m44.25s,+26d01m24.5s,Taurus,140,K7,0.7,-7.47,1.3,,,2,0,0,0,0,0,0,0,0,11616,COS/G130M/G160M-STIS/G230L/G430L/E230M,3
DM Tau,J04334871+1810099,HBC 62,4h33m48.74s,+18d10m09.7s,Taurus,140,M1,0.5,-8.54,0.7,14.3,14,2,0,0,0,0,0,0,0,0,9374|11608|11616,COS/G130M/G160M-STIS/E230M/G140L/G230L/G430L/G750L,3
DN Tau,J04352737+2414589,HBC 65,4h35m27.44s,+24d14m59.1s,Taurus,140,M0,0.6,-8,0.9,13.56,11.5,2,0,0,0,0,0,0,0,0,11616,COS/G130M/G160M-STIS/G230L/G430L/E230M,3
LkCa 15,J04391779+2221034,V1079 Tau,4h39m17.73s,+22d21m03.8s,Taurus,140,K5,1.1,-8.51,1.1,,12.03,2,0,0,0,0,0,0,0,0,9374|11616|14698,COS/G130M/G160M-STIS/G140L/G230L/G430L/G750M/E230M,3
LkCa 19,J04553695+3017553,HD282630,4h55m36.97s,+30d17m55.0s,Taurus,140,K0,1.3,,0,,11.12,2,0,0,0,0,0,0,0,0,11608|11616,COS/G130M/G160M-STIS/G230L/G430L/G750L/E230M,3
LkCa 4,J04162810+2807358,,4h16m28.11s,+28d07m35.73s,Taurus,140,K7,0.77,,0.69,,12.78,2,0,0,0,0,0,0,0,0,9790|11616,COS/G130M/G160M-STIS/E230M/G230L/G430L,3
RXJ0438.6+1546,2MASSJ04383907+1546137,HD285957,04h38m39.07s,+15d46m13.61s,Taurus,140,K2,1.4,-9.52,0.3,,10.86,1,0,0,0,0,2,2,1,3,16593,,
