;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
ogg0m404-kb82-20200828-0206-e91.fits.fz  59090.614642304  59090.614988890  5450  1.2208e-14  9.9926e-17
coj0m403-kb28-20200829-0168-e91.fits.fz  59090.756220405  59090.756570857  5450  1.2789e-14  1.9062e-16
ogg0m406-kb27-20200829-0184-e91.fits.fz  59091.598810140  59091.599156656  5450  1.1829e-14  1.7360e-16
coj0m403-kb28-20200830-0191-e91.fits.fz  59091.753376795  59091.753727211  5450  1.2593e-14  1.4437e-16
coj0m405-kb56-20200831-0165-e91.fits.fz  59092.750546031  59092.750896528  5450  1.4423e-14  2.1485e-16
coj0m403-kb28-20200831-0151-e91.fits.fz  59092.754561135  59092.754911482  5450  1.4444e-14  1.5102e-16
coj0m405-kb56-20200831-0183-e91.fits.fz  59092.792210544  59092.792561019  5450  1.5854e-14  2.1670e-16
ogg0m404-kb82-20200831-0175-e91.fits.fz  59093.596608218  59093.596954700  5450  1.5264e-14  1.2846e-16
coj0m403-kb28-20200901-0147-e91.fits.fz  59093.748037246  59093.748387686  5450  1.4750e-14  2.2148e-16
ogg0m406-kb27-20200901-0403-e91.fits.fz  59094.598726702  59094.599073183  5450  1.3218e-14  1.2249e-16
coj0m403-kb28-20200902-0146-e91.fits.fz  59094.748205417  59094.748555765  5450  1.2225e-14  2.5272e-16
ogg0m404-kb82-20200916-0355-e91.fits.fz  59109.615088693  59109.615435209  5450  9.8664e-15  9.2675e-17
coj0m405-kb56-20200917-0119-e91.fits.fz  59109.703425880  59109.703776378  5450  1.0261e-14  1.6449e-16
coj0m405-kb56-20200918-0083-e91.fits.fz  59110.755323461  59110.755673924  5450  1.1019e-14  3.3959e-16
ogg0m404-kb82-20200919-0065-e91.fits.fz  59112.540769283  59112.541115753  5450  1.0590e-14  1.4070e-16
ogg0m404-kb82-20200920-0207-e91.fits.fz  59113.565434942  59113.565781401  5450  1.1643e-14  1.4746e-16
cpt0m407-kb84-20200924-0107-e91.fits.fz  59117.046627836  59117.046978369  5450  1.1637e-14  1.6709e-16
tfn0m414-kb81-20200930-0174-e91.fits.fz  59123.134724665  59123.135075174  5450  1.1177e-14  2.4394e-16
coj0m405-kb56-20201001-0190-e91.fits.fz  59123.667386459  59123.667738484  5450  1.0615e-14  1.6616e-16
lsc0m409-kb29-20201115-0123-e91.fits.fz  59169.153416007  59169.153766482  5450  4.1789e-14  2.1581e-16
lsc0m409-kb29-20201116-0185-e91.fits.fz  59170.149940903  59170.150291413  5450  3.1123e-14  2.7368e-16
ogg0m406-kb27-20201116-0093-e91.fits.fz  59170.438379549  59170.438726123  5450  2.8397e-14  1.4363e-16
cpt0m407-kb84-20201117-0234-e91.fits.fz  59170.983507095  59170.983857593  5450  2.5670e-14  6.1575e-16
elp0m411-kb92-20201117-0321-e91.fits.fz  59171.438526471  59171.438876922  5450  2.8230e-14  1.9919e-16
lsc0m412-kb26-20201118-0165-e91.fits.fz  59172.148748693  59172.149099167  5450  3.4604e-14  2.7842e-16
ogg0m406-kb27-20201118-0123-e91.fits.fz  59172.438661008  59172.439009017  5450  3.1537e-14  1.5437e-16
cpt0m407-kb84-20201119-0281-e91.fits.fz  59172.983519711  59172.983870209  5450  3.0788e-14  2.3673e-16
ogg0m406-kb27-20201119-0120-e91.fits.fz  59173.438381644  59173.438728195  5450  2.6550e-14  1.5402e-16
cpt0m407-kb84-20201120-0201-e91.fits.fz  59173.983478380  59173.983828855  5450  2.5464e-14  2.6103e-16
elp0m411-kb92-20201120-0327-e91.fits.fz  59174.438363727  59174.438714225  5450  2.6021e-14  1.6639e-16
cpt0m407-kb84-20201121-0252-e91.fits.fz  59174.983517859  59174.983868368  5450  1.9958e-14  9.1953e-16
elp0m411-kb92-20201121-0272-e91.fits.fz  59175.438401123  59175.438751632  5450  2.2092e-14  1.8008e-16
tfn0m410-kb98-20201122-0052-e91.fits.fz  59176.204009838  59176.204360371  5450  3.6203e-14  4.7955e-16
coj0m405-kb56-20201123-0094-e91.fits.fz  59176.648605047  59176.648955591  5450  3.9819e-14  2.2235e-16
tfn0m414-kb81-20201123-0165-e91.fits.fz  59176.986663890  59176.987014364  5450  4.1435e-14  6.4662e-16
elp0m411-kb92-20201123-0753-e91.fits.fz  59177.438375140  59177.438725603  5450  3.8812e-14  2.0592e-16
tfn0m410-kb98-20201124-0086-e91.fits.fz  59177.983896366  59177.984246852  5450  3.7548e-14  5.3965e-16
ogg0m406-kb27-20201124-0037-e91.fits.fz  59178.438378890  59178.438725359  5450  2.6013e-14  1.5715e-16
cpt0m407-kb84-20201125-0167-e91.fits.fz  59179.038364028  59179.038714526  5450  1.7479e-14  1.3591e-16
ogg0m406-kb27-20201125-0047-e91.fits.fz  59179.438326135  59179.438672732  5450  2.2599e-14  1.4570e-16
coj0m403-kb24-20201126-0142-e91.fits.fz  59179.671511320  59179.671861308  5450  1.9312e-14  1.5759e-16
ogg0m404-kb82-20201126-0107-e91.fits.fz  59180.493289723  59180.493636308  5450  2.2144e-14  1.6631e-16
cpt0m407-kb84-20201127-0116-e91.fits.fz  59180.866654734  59180.867005209  5450  2.9114e-14  4.5003e-16
cpt0m407-kb84-20201127-0162-e91.fits.fz  59180.940622524  59180.940972987  5450  3.1383e-14  4.0033e-16
coj0m405-kb56-20201128-0194-e91.fits.fz  59181.718218056  59181.718568600  5450  3.2448e-14  4.2488e-16
cpt0m407-kb84-20201128-0128-e91.fits.fz  59181.877496690  59181.877847165  5450  3.1392e-14  8.6522e-16
ogg0m406-kb27-20201128-0093-e91.fits.fz  59182.496046285  59182.496392882  5450  3.3861e-14  1.7561e-16
tfn0m410-kb98-20201129-0088-e91.fits.fz  59182.974858623  59182.975209225  5450  3.0463e-14  5.0516e-16
lsc0m412-kb26-20201129-0159-e91.fits.fz  59183.273833681  59183.274184132  5450  2.8896e-14  3.3267e-16
coj0m403-kb24-20201130-0106-e91.fits.fz  59183.510670475  59183.511020475  5450  2.4102e-14  2.0487e-16
coj0m403-kb24-20201130-0112-e91.fits.fz  59183.521078068  59183.521427998  5450  2.3029e-14  2.3004e-16
coj0m405-kb56-20201130-0128-e91.fits.fz  59183.526604769  59183.526955336  5450  2.4895e-14  2.7640e-16
coj0m403-kb24-20201130-0123-e91.fits.fz  59183.537029017  59183.537379005  5450  2.3564e-14  1.7986e-16
coj0m403-kb24-20201130-0133-e91.fits.fz  59183.552328843  59183.552678751  5450  2.2284e-14  4.0974e-16
coj0m403-kb24-20201130-0135-e91.fits.fz  59183.557756366  59183.558106274  5450  2.3843e-14  2.0619e-16
coj0m403-kb24-20201130-0144-e91.fits.fz  59183.568201806  59183.568551806  5450  2.3209e-14  2.0343e-16
coj0m403-kb24-20201130-0146-e91.fits.fz  59183.578599248  59183.578949202  5450  2.3544e-14  1.9876e-16
coj0m403-kb24-20201130-0158-e91.fits.fz  59183.594179480  59183.594530915  5450  2.1955e-14  3.3758e-16
coj0m403-kb24-20201130-0160-e91.fits.fz  59183.599421621  59183.599771493  5450  2.2536e-14  3.1571e-16
coj0m403-kb24-20201130-0164-e91.fits.fz  59183.609858936  59183.610208889  5450  2.3065e-14  1.9411e-16
coj0m403-kb24-20201130-0166-e91.fits.fz  59183.620258855  59183.620608866  5450  2.2788e-14  1.6905e-16
coj0m403-kb24-20201130-0168-e91.fits.fz  59183.630678045  59183.631028021  5450  2.2373e-14  1.8343e-16
coj0m403-kb24-20201130-0172-e91.fits.fz  59183.642479075  59183.642829063  5450  2.2410e-14  1.7916e-16
coj0m403-kb24-20201130-0183-e91.fits.fz  59183.653776783  59183.654126702  5450  2.1380e-14  1.3845e-16
coj0m403-kb24-20201130-0185-e91.fits.fz  59183.661923079  59183.662272998  5450  2.1427e-14  1.4795e-16
cpt0m407-kb84-20201130-0109-e91.fits.fz  59183.841248658  59183.841599167  5450  2.0471e-14  2.1920e-16
cpt0m407-kb84-20201130-0115-e91.fits.fz  59183.847383866  59183.847734398  5450  1.9372e-14  2.1452e-16
cpt0m407-kb84-20201130-0119-e91.fits.fz  59183.857771147  59183.858121656  5450  1.9444e-14  2.1522e-16
cpt0m407-kb84-20201130-0125-e91.fits.fz  59183.868241772  59183.868592269  5450  1.9526e-14  2.2470e-16
cpt0m407-kb84-20201130-0136-e91.fits.fz  59183.879462639  59183.879813125  5450  2.0274e-14  2.0323e-16
cpt0m407-kb84-20201130-0142-e91.fits.fz  59183.889140070  59183.889490579  5450  2.1007e-14  2.1815e-16
cpt0m407-kb84-20201130-0144-e91.fits.fz  59183.899428322  59183.899778785  5450  1.9454e-14  2.0440e-16
cpt0m407-kb84-20201130-0146-e91.fits.fz  59183.909844433  59183.910194896  5450  2.0075e-14  2.0582e-16
cpt0m407-kb84-20201130-0152-e91.fits.fz  59183.920321482  59183.920671992  5450  1.9724e-14  2.1548e-16
cpt0m407-kb84-20201130-0154-e91.fits.fz  59183.930682964  59183.931033508  5450  1.9605e-14  1.9991e-16
cpt0m407-kb84-20201130-0165-e91.fits.fz  59183.951589827  59183.951940336  5450  2.1000e-14  2.2004e-16
cpt0m407-kb84-20201130-0171-e91.fits.fz  59183.963039144  59183.963389653  5450  2.0064e-14  2.1078e-16
tfn0m414-kb81-20201130-0203-e91.fits.fz  59183.982844966  59183.983195545  5450  2.0200e-14  7.4763e-16
tfn0m414-kb81-20201130-0205-e91.fits.fz  59183.993175892  59183.993526401  5450  1.8978e-14  7.4759e-16
tfn0m414-kb81-20201130-0207-e91.fits.fz  59184.003586412  59184.003936864  5450  1.7955e-14  1.0963e-15
cpt0m407-kb84-20201130-0192-e91.fits.fz  59184.042576528  59184.042927037  5450  2.0778e-14  1.9867e-16
tfn0m414-kb81-20201130-0262-e91.fits.fz  59184.048849688  59184.049200243  5450  2.2703e-14  6.5306e-16
tfn0m410-kb98-20201130-0313-e91.fits.fz  59184.051615290  59184.051965926  5450  2.1312e-14  6.7443e-16
cpt0m407-kb84-20201130-0194-e91.fits.fz  59184.062004017  59184.062354491  5450  2.1003e-14  2.0324e-16
cpt0m407-kb84-20201130-0196-e91.fits.fz  59184.069566621  59184.069917119  5450  2.0632e-14  2.0916e-16
cpt0m407-kb84-20201130-0198-e91.fits.fz  59184.075954699  59184.076305243  5450  2.0627e-14  2.2761e-16
cpt0m407-kb84-20201130-0200-e91.fits.fz  59184.079985487  59184.080335996  5450  2.0726e-14  2.4244e-16
lsc0m412-kb26-20201130-0118-e91.fits.fz  59184.109495463  59184.109845984  5450  2.1469e-14  3.2850e-16
lsc0m409-kb29-20201130-0137-e91.fits.fz  59184.114974202  59184.115324735  5450  2.1167e-14  2.3333e-16
lsc0m409-kb29-20201130-0144-e91.fits.fz  59184.125345533  59184.125696030  5450  2.0928e-14  2.2552e-16
lsc0m409-kb29-20201130-0150-e91.fits.fz  59184.135658797  59184.136009295  5450  2.1470e-14  2.3289e-16
lsc0m409-kb29-20201130-0156-e91.fits.fz  59184.146192003  59184.146542547  5450  2.1376e-14  2.3558e-16
lsc0m409-kb29-20201201-0127-e91.fits.fz  59185.114725961  59185.115076436  5450  3.4411e-14  2.5488e-16
lsc0m412-kb26-20201201-0157-e91.fits.fz  59185.177085220  59185.177435730  5450  3.6821e-14  3.8575e-16
coj0m403-kb24-20201202-0199-e91.fits.fz  59185.684262929  59185.684612894  5450  3.3309e-14  1.5962e-16
lsc0m412-kb26-20201202-0165-e91.fits.fz  59186.278439908  59186.278790417  5450  2.5435e-14  2.9081e-16
ogg0m404-kb82-20201202-0138-e91.fits.fz  59186.402549827  59186.402896297  5450  2.4099e-14  1.2299e-16
lsc0m412-kb26-20201203-0129-e91.fits.fz  59187.162800857  59187.163151378  5450  2.4195e-14  2.4566e-16
ogg0m406-kb27-20201203-0150-e91.fits.fz  59187.379473727  59187.379820382  5450  2.4241e-14  1.4203e-16
