;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
tfn0m414-kb93-20210728-0132-e91.fits.fz  59424.210086841  59424.215877072  3560  1.3829e-14  6.2823e-16
tfn0m414-kb93-20210729-0117-e91.fits.fz  59425.207358623  59425.213148878  3560  1.7516e-14  6.8802e-16
tfn0m414-kb93-20210730-0127-e91.fits.fz  59426.204638068  59426.210428311  3560  1.1071e-14  6.3461e-16
tfn0m410-kb98-20210805-0166-e91.fits.fz  59432.188293693  59432.194084028  3560  6.9517e-15  9.0817e-16
tfn0m410-kb98-20210806-0245-e91.fits.fz  59433.186827130  59433.192617500  3560  7.6688e-15  7.7076e-16
tfn0m410-kb98-20210808-0144-e91.fits.fz  59435.181345000  59435.187135313  3560  6.5452e-15  8.0367e-16
tfn0m410-kb98-20210809-0388-e91.fits.fz  59436.178655672  59436.184445984  3560  1.0642e-14  8.8387e-16
tfn0m410-kb98-20210810-0233-e91.fits.fz  59437.193953045  59437.199743427  3560  3.7717e-15  5.9750e-16
tfn0m410-kb98-20210811-0233-e91.fits.fz  59438.178473114  59438.184263426  3560  3.7794e-15  6.2635e-16
tfn0m410-kb98-20211003-0202-e91.fits.fz  59491.101751621  59491.107541933  3560  5.8862e-15  5.9340e-16
tfn0m410-kb98-20211005-0197-e91.fits.fz  59493.045165730  59493.050956124  3560  5.4734e-15  7.0924e-16
tfn0m410-kb98-20211006-0187-e91.fits.fz  59494.055292454  59494.061082859  3560  6.1002e-15  1.0802e-15
tfn0m410-kb98-20211007-0218-e91.fits.fz  59495.101304005  59495.107094399  3560  4.0429e-15  6.1461e-16
elp0m411-kb92-20211009-0286-e91.fits.fz  59497.371432026  59497.377222466  3560  7.3892e-15  1.1225e-15
ogg0m404-kb82-20211010-0247-e91.fits.fz  59498.622067778  59498.627854052  3560  4.8223e-15  2.3590e-16
tfn0m410-kb98-20211012-0217-e91.fits.fz  59500.134912836  59500.140703206  3560  6.2087e-15  6.6497e-16
ogg0m406-kb27-20211012-0196-e91.fits.fz  59500.496012130  59500.501798600  3560  6.6314e-15  2.2458e-16
ogg0m406-kb27-20211012-0200-e91.fits.fz  59500.506454943  59500.512241378  3560  6.5235e-15  2.2036e-16
ogg0m406-kb27-20211012-0204-e91.fits.fz  59500.516864457  59500.522650915  3560  7.4703e-15  2.2853e-16
ogg0m406-kb27-20211012-0208-e91.fits.fz  59500.527266193  59500.533052616  3560  7.0876e-15  2.2601e-16
ogg0m404-kb82-20211012-0256-e91.fits.fz  59500.634965336  59500.640751621  3560  8.0611e-15  3.2571e-16
elp0m411-kb92-20211013-0139-e91.fits.fz  59501.333282535  59501.339072963  3560  1.3616e-14  1.6476e-15
ogg0m406-kb27-20211013-0192-e91.fits.fz  59501.592614156  59501.598400545  3560  1.4433e-14  2.7422e-16
elp0m411-kb92-20211014-0427-e91.fits.fz  59502.292544017  59502.298334410  3560  1.5488e-14  1.7477e-15
elp0m411-kb92-20211014-0431-e91.fits.fz  59502.302991853  59502.308782269  3560  1.1174e-14  1.5723e-15
elp0m411-kb92-20211014-0435-e91.fits.fz  59502.313374341  59502.319164711  3560  1.2785e-14  1.5457e-15
elp0m411-kb92-20211014-0474-e91.fits.fz  59502.358212512  59502.364002894  3560  1.0956e-14  1.2843e-15
tfn0m410-kb98-20211015-0481-e91.fits.fz  59503.127631586  59503.133421956  3560  7.1648e-15  6.1559e-16
elp0m411-kb92-20211015-0482-e91.fits.fz  59503.489240163  59503.495030556  3560  1.1717e-14  1.9094e-15
ogg0m404-kb82-20211016-0482-e91.fits.fz  59504.586298091  59504.592084387  3560  3.7251e-15  2.5538e-16
tfn0m410-kb98-20211017-0197-e91.fits.fz  59505.125796794  59505.131587153  3560  3.7061e-15  5.5801e-16
ogg0m404-kb82-20211017-0484-e91.fits.fz  59505.636806632  59505.642592963  3560  5.4690e-15  2.4708e-16
elp0m411-kb92-20211018-0161-e91.fits.fz  59506.335021181  59506.340811598  3560  1.0479e-14  1.4215e-15
ogg0m406-kb27-20211018-0190-e91.fits.fz  59506.599600116  59506.605386517  3560  6.9207e-15  2.3346e-16
ogg0m404-kb82-20211018-0184-e91.fits.fz  59506.609923021  59506.615709260  3560  6.9345e-15  2.5887e-16
ogg0m406-kb27-20211018-0194-e91.fits.fz  59506.620352281  59506.626138844  3560  5.7761e-15  2.1130e-16
ogg0m404-kb82-20211018-0197-e91.fits.fz  59506.630747848  59506.636534098  3560  6.7801e-15  2.6685e-16
ogg0m404-kb82-20211019-0162-e91.fits.fz  59507.573668542  59507.579454827  3560  1.0672e-14  2.7585e-16
elp0m411-kb92-20211020-0279-e91.fits.fz  59508.378334283  59508.384124700  3560  1.9434e-14  1.1593e-15
ogg0m406-kb27-20211020-0215-e91.fits.fz  59508.636808797  59508.642595232  3560  2.7222e-14  3.8967e-16
elp0m411-kb92-20211021-0117-e91.fits.fz  59509.244130487  59509.249920938  3560  2.0211e-14  2.7154e-15
ogg0m406-kb27-20211021-0180-e91.fits.fz  59509.627259376  59509.633045776  3560  2.4271e-14  4.1333e-16
ogg0m406-kb27-20211021-0184-e91.fits.fz  59509.637694862  59509.643481320  3560  2.1957e-14  3.5157e-16
tfn0m410-kb98-20211022-0156-e91.fits.fz  59510.005386470  59510.011176864  3560  1.5224e-14  8.2328e-16
elp0m411-kb92-20211022-0734-e91.fits.fz  59510.436893716  59510.442684133  3560  6.6021e-15  1.3071e-15
ogg0m406-kb27-20211023-0716-e91.fits.fz  59511.636809017  59511.642595568  3560  2.2534e-14  2.9243e-15
elp0m411-kb92-20211024-0150-e91.fits.fz  59512.236808368  59512.242598796  3560  8.2759e-15  1.5061e-15
tfn0m410-kb98-20211025-0167-e91.fits.fz  59513.214474815  59513.220265185  3560  7.1054e-15  5.6591e-16
tfn0m410-kb98-20211026-0243-e91.fits.fz  59514.123175903  59514.128966285  3560  6.7964e-15  6.0353e-16
elp0m411-kb92-20211026-0174-e91.fits.fz  59514.269642582  59514.275432987  3560  8.6665e-15  1.5307e-15
elp0m411-kb92-20211026-0182-e91.fits.fz  59514.290464190  59514.296254630  3560  1.6028e-14  2.3844e-15
ogg0m404-kb82-20211026-0391-e91.fits.fz  59514.636817616  59514.642603971  3560  7.5244e-15  3.1933e-16
tfn0m410-kb98-20211028-0179-e91.fits.fz  59515.986087570  59515.991877917  3560  4.9417e-15  6.3861e-16
tfn0m410-kb98-20211029-0192-e91.fits.fz  59517.038365973  59517.044156343  3560  7.3387e-15  8.0219e-16
tfn0m410-kb98-20211029-0196-e91.fits.fz  59517.048814503  59517.054604861  3560  6.8896e-15  7.1223e-16
tfn0m410-kb98-20211029-0200-e91.fits.fz  59517.058514677  59517.064304989  3560  6.1682e-15  6.2899e-16
tfn0m410-kb98-20211029-0204-e91.fits.fz  59517.068924167  59517.074714561  3560  6.6665e-15  6.8125e-16
