;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
cpt0m407-kb84-20210207-0105-e91.fits.fz  59252.871377501  59252.871612304  5450  1.0648e-14  3.3323e-16
cpt0m407-kb84-20210208-0095-e91.fits.fz  59253.868642929  59253.868877698  5450  1.0776e-14  2.1901e-16
cpt0m407-kb84-20210209-0096-e91.fits.fz  59254.865891135  59254.866125903  5450  1.1491e-14  2.2584e-16
cpt0m407-kb84-20210210-0105-e91.fits.fz  59255.863175834  59255.863410603  5450  1.2974e-14  2.7647e-16
lsc0m409-kb29-20210211-0129-e91.fits.fz  59257.146616332  59257.146851042  5450  1.2755e-14  3.6280e-16
lsc0m409-kb29-20210211-0131-e91.fits.fz  59257.147408241  59257.147643056  5450  1.3075e-14  3.4758e-16
cpt0m407-kb84-20210213-0132-e91.fits.fz  59258.855058716  59258.855293484  5450  1.2517e-14  2.4404e-16
cpt0m407-kb84-20210214-0115-e91.fits.fz  59259.852250394  59259.852485139  5450  1.1596e-14  3.1511e-16
cpt0m407-kb84-20210215-0133-e91.fits.fz  59260.850926482  59260.851161251  5450  1.0961e-14  2.6794e-16
cpt0m407-kb84-20210216-0126-e91.fits.fz  59261.846810082  59261.847044850  5450  1.1365e-14  2.5938e-16
cpt0m407-kb84-20210508-0064-e91.fits.fz  59342.699568218  59342.699803010  5450  1.2605e-14  2.6727e-16
cpt0m407-kb84-20210509-0066-e91.fits.fz  59343.703899665  59343.704134399  5450  1.1173e-14  2.6678e-16
cpt0m407-kb84-20210510-0064-e91.fits.fz  59344.698629619  59344.698864457  5450  1.0114e-14  2.5269e-16
cpt0m407-kb84-20210511-0070-e91.fits.fz  59345.711106760  59345.711341528  5450  1.1451e-14  2.6229e-16
cpt0m407-kb84-20210512-0070-e91.fits.fz  59346.712100834  59346.712335567  5450  1.1369e-14  2.4171e-16
cpt0m407-kb84-20210513-0070-e91.fits.fz  59347.707659306  59347.707894075  5450  1.2017e-14  2.5385e-16
cpt0m407-kb84-20210514-0055-e91.fits.fz  59348.708628438  59348.708863253  5450  1.3784e-14  3.4729e-16
