#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T14:56:35 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e6ea9187225	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/353&tab:{I/353/gsc242}&key:source=I/353&HTTPPRM:&
#-c=161.151 -49.7763
#-c.eq=J2000
#-c.r=  19
#-c.u=arcmin
#-c.geom=r
#-source=I/353/gsc242
#-order=I
#-out.orig=standard
#-out=GSC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=objID
#-out=Epoch
#-out=Class
#Class==0
#-out=Gmag
#-out=OMag
#-out=Bjmag
#-out=Fpgmag
#-out=Epgmag
#-out=Npgmag
#-out=Umag
#-out=Bmag
#-out=Vmag
#-out=umag
#umag=<15
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=ymag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=Zmag
#-out=Ymag
#-out=W1mag
#-out=W2mag
#-out=W3mag
#-out=W4mag
#-out=FUVmag
#-out=NUVmag
#-out=a
#-out=e
#-out=PA
#
#INFO	-c=161.151000-49.776300,rm=19.	
#Constraint -bmark=POST

#RESOURCE=yCat_1353
#Name: I/353
#Title: The Guide Star Catalog, Version 2.4.2 (GSC2.4.2) (STScI, 2020)
#Coosys	H:	ICRS
#Table	I_353_gsc242:
#Name: I/353/gsc242
#Title: records of GSC 2.4.2
#Column	_r	(F7.4)	Distance from center (161.15100000000-49.77630000000)[ICRS], at Epoch of catalog (Epoch)	[ucd=pos.angDistance]
#Column	GSC2	(a10)	GSC2 Public ID (hstID)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Right Ascension (ICRS) at Ep=Epoch (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) at Ep=Epoch (dec)	[ucd=pos.eq.dec;meta.main]
#Column	objID	(I15)	Database ID	[ucd=meta.id;meta.dataset]
#Column	Epoch	(F9.3)	Epoch of coordinate	[ucd=time.epoch]
#Column	Class	(I1)	[0/4]? Object classification code (classification) (1) [NULL integer written as an empty string]	[ucd=meta.code.class]
#Column	Gmag	(F9.6)	? Gaia G band magnitude (gaiaGmag)	[ucd=phot.mag;em.opt]
#Column	OMag	(F9.6)	? Photographic O band magnitude (OpgMag)	[ucd=phot.mag;em.opt.B]
#Column	Bjmag	(F9.6)	? Photographic Blue magnitude (JpgMag)	[ucd=phot.mag;em.opt.B]
#Column	Fpgmag	(F9.6)	? Photographic Red magnitude (FpgMag)	[ucd=phot.mag;em.opt.R]
#Column	Epgmag	(F9.6)	? Photographic E band magnitude (EpgMag)	[ucd=phot.mag;em.opt.R]
#Column	Npgmag	(F9.6)	? Photographic Near-IR magnitude (NpgMag)	[ucd=phot.mag;em.opt.I]
#Column	Umag	(F9.6)	? U band magnitude	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F9.6)	? B band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F9.6)	? V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	umag	(F6.3)	? SDSS u band magnitude (SDSSuMag)	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F7.3)	? SDSS g band magnitude (SDSSgMag)	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r band magnitude (SDSSrMag)	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i band magnitude (SDSSiMag)	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z band magnitude (SDSSzMag)	[ucd=phot.mag;em.opt.I]
#Column	ymag	(F7.4)	? PanSTARRS y band magnitude (PS1yMag)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J band magnitude (tmassJmag)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H band magnitude (tmassHmag)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks band magnitude (tmassKsmag)	[ucd=phot.mag;em.IR.K]
#Column	Zmag	(F6.3)	? VISTA Z band magnitude (VistaZMag)	[ucd=phot.mag;em.opt.I]
#Column	Ymag	(F7.3)	? VISTA Y band magnitude (VistaYmag)	[ucd=phot.mag;em.IR.J]
#Column	W1mag	(F6.3)	? WISE W1 (3.4um) band magnitude (WISEw1Mag)	[ucd=phot.mag;em.IR.3-4um]
#Column	W2mag	(F6.3)	? WISE W2 (4.6um) band magnitude (WISEw2Mag)	[ucd=phot.mag;em.IR.4-8um]
#Column	W3mag	(F6.3)	? WISE W3 (12um) band magnitude (WISEw3Mag)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	W4mag	(F6.3)	? WISE W4 (22um) band magnitude (WISEw4Mag)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	FUVmag	(F6.3)	? GALEX FUV band magnitude	[ucd=phot.mag;em.UV]
#Column	NUVmag	(F6.3)	? GALEX NUV band magnitude	[ucd=phot.mag;em.UV]
#Column	a	(F9.3)	? SemiMajor diameter of object (gsc2semiMajorAxis)	[ucd=phys.angSize]
#Column	e	(F6.3)	? Eccentricity of object (gsc2eccentricity)	[ucd=src.orbital.eccentricity]
#Column	PA	(F5.1)	? Position Angle (North thru East) (gsc2positionAngle)	[ucd=pos.posAng;instr.det]
_r;GSC2;RA_ICRS;DE_ICRS;objID;Epoch;Class;Gmag;OMag;Bjmag;Fpgmag;Epgmag;Npgmag;Umag;Bmag;Vmag;umag;gmag;rmag;imag;zmag;ymag;Jmag;Hmag;Ksmag;Zmag;Ymag;W1mag;W2mag;W3mag;W4mag;FUVmag;NUVmag;a;e;PA
arcmin; ;deg;deg; ;yr; ;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;pix;pix;pix
-------;----------;---------------;---------------;---------------;---------;-;---------;---------;---------;---------;---------;---------;---------;---------;---------;------;-------;------;------;------;-------;-------;-------;-------;------;-------;------;------;------;------;------;------;---------;------;-----
 0.7730;S5K2001549;161.14271775025;-49.76458019938;   213002021549; 2015.500;0;13.037125;         ;13.938900;12.891200;         ;12.432700;         ;13.761000;13.157000;14.582; 13.423;13.026;12.997;12.929;       ; 11.852; 11.699; 11.609;      ;       ;11.545;11.580;11.465; 8.947;      ;      ;    6.076; 0.126; 21.9
 1.6907;S5K2001545;161.12221076969;-49.75512878390;   213002021545; 2015.500;0;11.715809;         ;         ;         ;         ;         ;         ;12.335000;11.795000;13.096; 12.022;11.666;11.684;11.660;       ; 10.870; 10.426; 10.243;      ;       ;10.303;10.334;10.279; 8.312;      ;      ;         ;      ;
 3.0832;S5K2001572;161.14099690698;-49.82727942673;   213002021572; 2015.500;0;11.052651;         ;         ;         ;         ;         ;         ;12.630000;11.377000;14.379; 11.996;10.973;10.677;10.439;       ; 10.709;  8.566;  9.918;      ;       ; 8.280; 8.356; 8.270; 8.101;      ;      ;         ;      ;
 3.1612;S5K2001521;161.13447891561;-49.72470579394;   213002021521; 2015.500;0;12.036486;         ;         ;         ;         ;         ;         ;12.647000;12.127000;13.543; 12.362;12.028;12.050;12.024;       ; 11.132; 10.917; 10.689;      ;       ;10.805;10.829;10.791; 9.153;      ;      ;         ;      ;
 3.7466;S5K2001527;161.07959035468;-49.73421812997;   213002021527; 2015.500;0; 9.217656;         ;         ;         ;         ;         ;         ; 9.380000; 9.240000;10.467;  9.189; 9.263; 9.509; 9.772;       ; 10.957;  8.917;  9.727;      ;       ; 8.883; 8.915; 8.914; 8.647;      ;      ;         ;      ;
 3.9903;S5K2001539;161.05904990289;-49.74638496533;   213002021539; 2015.500;0;12.856662;         ;13.748800;12.721700;         ;12.225100;         ;13.608000;12.977000;14.591; 13.274;12.806;12.814;12.744;       ; 11.610; 11.487; 11.449;      ;       ;11.432;11.479;11.704; 9.294;      ;      ;    6.151; 0.056; 58.2
 4.0937;S5K2001511;161.15155852837;-49.70807226554;   213002021511; 2015.500;0; 9.731131;         ;         ;         ;         ;         ;         ;10.139000; 9.770000;10.995; 10.074; 9.715; 9.771; 9.928;       ; 11.792;  8.971;  9.867;      ;       ; 8.846; 8.828; 8.770; 7.913;      ;      ;         ;      ;
 4.1848;S5K2001561;161.04624138496;-49.79331875214;   213002021561; 2015.500;0;13.044948;         ;13.839000;12.918000;         ;12.469500;         ;13.759000;13.137000;14.940; 13.432;12.988;12.984;12.880;       ; 11.879; 11.666; 11.607;      ;       ;11.530;11.558;11.484; 9.184;      ;      ;    5.817; 0.102; 24.5
 4.8606;S5K2001579;161.07519959349;-49.84087400420;   213002021579; 2015.500;0; 8.416745;         ;         ;         ;         ;         ; 8.900000; 8.840000; 8.500000; 9.727;  8.819; 8.731; 8.897; 8.751;       ; 11.489;  7.668; 10.550;      ;       ; 7.496; 7.582; 7.584; 7.633;      ;      ;         ;      ;
 4.9753;S5K2001551;161.02331379063;-49.76759992025;   213002021551; 2015.500;0;12.552293;         ;12.965300;12.238100;         ;11.834500;         ;12.930000;12.584000;14.246; 12.726;12.561;12.712;12.643;       ; 11.773; 11.727; 11.670;      ;       ;11.588;11.610;11.708; 8.545;      ;      ;    7.988; 0.124;127.9
 5.2436;S5K2001586;161.17244248803;-49.86259119646;   213002021586; 2015.500;0;11.801138;         ;         ;         ;         ;         ;         ;12.294000;11.854000;13.252; 12.050;11.791;11.858;11.867;       ; 11.038; 10.802; 10.593;      ;       ;10.717;10.734;10.744; 8.927;      ;      ;         ;      ;
 5.3814;S5K2001562;161.01457540163;-49.79319707277;   213002021562; 2015.500;0;12.876450;         ;13.864100;12.656300;         ;12.218600;         ;13.802000;13.043000;14.905; 13.418;12.836;12.760;12.643;       ; 11.477; 11.371; 11.167;      ;       ;11.202;11.226;10.902; 9.143;      ;      ;    6.361; 0.045;176.0
 5.4831;S5K2001518;161.26200497228;-49.71967352292;   213002021518; 2015.500;0;10.508132;         ;         ;         ;         ;         ;         ;10.759000;10.530000;11.977; 10.596;10.532;10.714;10.746;       ; 11.887;  9.889; 10.031;      ;       ; 9.790; 9.804; 9.852; 8.989;      ;      ;         ;      ;
 5.6880;S5K2101565;161.06083558688;-49.85114739287; 21300202101565; 2015.500;0; 8.887234;         ;         ;         ;         ;         ;         ;         ;14.334000;13.996; 11.298;10.028; 8.782; 8.633;       ;       ;       ;       ;      ;       ;      ;      ;      ;      ;      ;      ;         ;      ;
 5.8570;S5K2001497;161.08090573239;-49.68983421508;   213002021497; 2015.500;0;10.418622;         ;         ;         ;         ;         ;         ;12.513000;10.976000;14.706; 11.745;10.399;10.015; 9.671;       ; 11.294;  7.452;  9.834;      ;       ; 7.047; 7.330; 7.204; 7.142;      ;      ;         ;      ;
 5.9598;S5K2001541;161.29923922121;-49.74989178244;   213002021541; 2015.500;0; 9.288269;         ;         ;         ;         ;         ;         ;10.457000; 9.651000;11.921; 10.099; 9.257; 9.195; 9.323;       ;  7.849;  7.398;  7.285;      ;       ; 7.096; 7.255; 7.227; 7.200;      ;      ;         ;      ;
 6.0892;S5K2001536;161.29960603562;-49.74337809856;   213002021536; 2015.500;0;11.400590;         ;12.104000;11.096100;         ;10.243800;         ;13.037000;11.764000;14.853; 12.393;11.350;11.039;10.828;       ; 11.086;  8.959; 10.566;      ;       ; 8.670; 8.757; 8.624; 8.501;      ;      ;    8.952; 0.078; 72.6
