dataset_name,target_name,target_name_hlsp,grating,snr
o8p101030,SK-67D5,SK-67D5,E230H,24.29723405
ob6b25040,HD-104237,HD-104237,E230H,20.58650363
ob6b25030,HD-104237,HD-104237,E230H,17.72539095
o8p101010,SK-67D5,SK-67D5,E140H,15.59409368
o8p104030,SK-70D115,SK-70D115,E230H,15.16925422
o8p103030,SK-70D115,SK-70D115,E230H,14.93012496
o8p101020,SK-67D5,SK-67D5,E230H,14.38838486
o5dw04010,SK155,AV-479,E230H,12.97050118
o5dw03010,SK155,AV-479,E230H,11.5835221
o8p103010,SK-70D115,SK-70D115,E140H,10.7020519
o8p104010,SK-70D115,SK-70D115,E140H,10.69428439
oekh1s010,SK-66D50,SK-66D50,E230M,
ob6b25020,HD-104237,HD-104237,E230M,
o6cd01030,HD5980,HD-5980,E230M,
oekh4s010,SK-67D207,SK-67D207,E230M,
ockp18010,AZV26,AV-26,E230M,
oda916010,SK-69246,SK-69D246,E230M,
ockp17010,SK191,SK-191,E230M,
o6cd01010,HD5980,HD-5980,E140M,
oda908010,SK-675,SK-67D5,E230M,
o63l06020,RW-AUR,V-RW-AUR,E230M,
o6cd01020,HD5980,HD-5980,E230M,
oda901010,SK-6522,SK-65D22,E230M,
oda906010,SK-69104,SK-69D104,E230M,
o63l06010,RW-AUR,V-RW-AUR,E230M,
oda903010,SK-67211,SK-67D211,E230M,
ockp04010,HD5045,AV-78,E230M,
oda908020,SK-675,SK-67D5,E140M,
oda931030,SK-68135,SK-68D135,E230M,
obi406010,SK-67D168,SK-67D168,E140M,
oda923010,SK-69220,SK-69D220,E230M,
oda922020,SK-6852,SK-68D52,E230M,
oda904010,SK-6714,SK-67D14,E230M,
oda906020,SK-69104,SK-69D104,E140M,
oedj02010,HD-269698,SK-67D166,E140M,
oedj01010,HD-269698,SK-67D166,E140M,
oda910020,SK-69175,SK-69D175,E230M,
oedj02030,HD-269698,SK-67D166,E140M,
oedj02020,HD-269698,SK-67D166,E140M,
oedj02050,HD-269698,SK-67D166,E140M,
oedj01030,HD-269698,SK-67D166,E140M,
oedj04010,HD-269698,SK-67D166,E140M,
oedj03030,HD-269698,SK-67D166,E140M,
oedj04030,HD-269698,SK-67D166,E140M,
oedj03010,HD-269698,SK-67D166,E140M,
oedj03050,HD-269698,SK-67D166,E140M,
oedj02040,HD-269698,SK-67D166,E140M,
oedj03070,HD-269698,SK-67D166,E140M,
oedj01050,HD-269698,SK-67D166,E140M,
oedj07020,HD-269698,SK-67D166,E140M,
oedj03020,HD-269698,SK-67D166,E140M,
of1q2s010,SK-69D83,SK-69D83,E140M,
oedj03040,HD-269698,SK-67D166,E140M,
oedj01090,HD-269698,SK-67D166,E140M,
oedj01070,HD-269698,SK-67D166,E140M,
oedj04020,HD-269698,SK-67D166,E140M,
oedj05040,HD-269698,SK-67D166,E140M,
oedj05020,HD-269698,SK-67D166,E140M,
o4yn02010,SK-67.104,SK-67D104,E140M,
oedj03060,HD-269698,SK-67D166,E140M,
oedj06010,HD-269698,SK-67D166,E140M,
oda913020,SK-67105,SK-67D105,E230M,
oedj07010,HD-269698,SK-67D166,E140M,
oedj08010,HD-269698,SK-67D166,E140M,
oedja8010,HD-269698,SK-67D166,E140M,
oda917020,SK-70115,SK-70D115,E230M,
ockp04020,HD5045,AV-78,E230M,
oedj05010,HD-269698,SK-67D166,E140M,
oda909010,SK-7145,SK-71D45,E230M,
oda905010,SK-6635,SK-66D35,E230M,
oda922010,SK-6852,SK-68D52,E230M,
oe9e1s010,AV332,AV-332,E140M,
obi401010,SK-65D47,SK-65D47,E140M,
obzl02020,SK18,AV-26,E230M,
obzl02030,SK18,AV-26,E230M,
obzl02050,SK18,AV-26,E230M,
obzl02040,SK18,AV-26,E230M,
oedj01040,HD-269698,SK-67D166,E140M,
oedj01080,HD-269698,SK-67D166,E140M,
oda913010,SK-67105,SK-67D105,E230M,
oe9f1s010,AV235,AV-235,E230M,
oda902010,SK-67101,SK-67D101,E230M,
oda917010,SK-70115,SK-70D115,E230M,
ockp05010,AZV80,AV-80,E230M,
oedj04040,HD-269698,SK-67D166,E140M,
oe9f5s010,AV70,AV-70,E230M,
obi403010,SK-67D111,SK-67D111,E140M,
ockp03010,AZV47,AV-47,E230M,
oedj010a0,HD-269698,SK-67D166,E140M,
oehi2s010,SK-67D167,SK-67D167,E140M,
oe4x16010,SMC-AB8,SK-188,E140M,
oeb73s020,SK-67D108,SK-67D108,E140M,
ockp04030,HD5045,AV-78,E140M,
ob3j01010,HD33133,SK-66D51,E140M,
obzl02010,SK18,AV-26,E230M,
oe9f4s030,AV488,AV-488,E140M,
oedj02060,HD-269698,SK-67D166,E140M,
oda904020,SK-6714,SK-67D14,E140M,
odgx14010,V-HK-ORI,V-HK-ORI,E230M,
oe9p4s010,AV393,AV-393,E230M,
oeto3s010,SK-70D50,SK-70D50,E230M,
ockp01010,AZV18,AV-18,E230M,
od7m08020,2DFL-51-50,SK-68D112,E140M,
oeto1s010,SK-67D78,SK-67D78,E230M,
oe4x17010,SK-35,AV-70,E140M,
oejvbs030,AV264,AV-264,E230M,
obi402010,SK-67D105,SK-67D105,E140M,
oejf1s010,SK-66D171,SK-66D171,E140M,
oemu4s010,AV445,AV-445,E230M,
oemuas010,AV200,AV-200,E230M,
oejfds010,SK-69D43,SK-69D43,E230M,
ockp08040,AZV242,AV-242,E140M,
oedj01020,HD-269698,SK-67D166,E140M,
oef12s030,SK-68D8,SK-68D8,E230M,
oe9f4s010,AV488,AV-488,E230M,
oedj01060,HD-269698,SK-67D166,E140M,
obi404010,SK-70D115,SK-70D115,E140M,
oejg4s010,SK-71D21,SK-71D21,E140M,
oe9f5s020,AV70,AV-70,E140M,
ockp09010,AZV321,AV-321,E230M,
oeb73s010,SK-67D108,SK-67D108,E140M,
o4yn03010,SK-67.106,SK-67D106,E140M,
o6df08020,AV362,AV-362,E230M,
oe9f3s010,AV372,AV-372,E230M,
o6df03020,SK191,SK-191,E230M,
oeto2s010,SK-69D52,SK-69D52,E230M,
ockp06010,AZV95,AV-95,E230M,
od7m08010,2DFL-51-50,SK-68D112,E140M,
