Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,DO,OLD COS orbs,OLD STIS orbs,OLD ORB,COS orbs estimated,STIS orbs estimated,COS orbs,STIS orbs,ORBS,PID,AR MODES,DR
Hn5,J11064180-7635489,GX Cha,11h06m41.8s,-76d35m48.9s,Cha I,160,M5,0.16,-9.28,0.0,,,1,2,1,3,2.57,0.28,3,1,4,16478,,
V-IN-Cha,J11120984-7634366,T50,11h12m09.84s,-76d34m36.6s,Cha I,160,M5,0.17,-9.34,0.1,,,1,3,1,4,3.52,0.31,4,1,5,16478,,
V-WZ-Cha,J11105333-7634319,T48,11h10m53.33s,-76d34m31.9s,Cha I,160,M3,0.3,-7.96,1.2,15.63,15.48,1,6,1,7,11.33,0.36,6,1,7,16598,,
V-VZ-Cha,J11092379-7623207,T40,11h09m23.79s,-76d23m20.7s,Cha I,160,M0.5,0.49,-7.33,1.2,12.71,12.94,1,7,1,8,12.38,0.22,13,1,14,16597,,
2MASSJ11432669-7804454,J11432669-7804454,eps Cha 17,11h43m26.69s,-78d04m45.4s,Cha I,160,M5.5,0.14,-8.71,0.4,,,1,2,1,3,2.47,0.26,3,1,4,16481,,
CHX18N,J11114632-7620092,,11h11m46.32s,-76d20m09.2s,Cha I,160,K2,1.25,-8.09,0.8,12.0,11.96,1,3,1,4,4.81,0.3,5,1,6,16482,,
Sz45,J11173700-7704381,HBC 590,11h17m37s,-77d04m38.1s,Cha I,160,M0.5,0.51,-8.09,0.7,13.5,13.5,1,3,1,4,3.7,0.28,4,1,5,16482,STIS/G140L/G230L/G430L/G750L,
Sz10,J11025504-7721508,T12,11h02m55.04s,-77d21m50.8s,Cha I,160,M4.5,0.19,-8.7,0.8,16.67,16.25,1,4,1,5,6.08,0.32,6,1,7,16481,,
XX Cha,J11113965-7620152,T49,11h11m39.65s,-76d20m15.2s,Cha I,160,M3.5,0.25,-7.41,1.0,15.0,15.28,1,5,1,6,8.3,0.21,9,1,10,16481,,
V-SY-Cha,J10563044-7711393,T4,10h56m30.44s,-77d11m39.3s,Cha I,160,K7,0.78,-9.41,0.5,14.51,13.8,1,7,1,8,10.58,0.45,11,1,12,16596,,
Sz19,J11072074-7738073,DI Cha,11h07m20.74s,-77d38m07.3s,Cha I,160,K0,2.08,-7.63,1.5,11.02,10.93,1,7,1,8,13.6,0.34,14,1,15,16597,,
VW Cha ,J11080148-7742288,Sz 24,11h08m01.48s,-77d42m28.8s,Cha I,160,K7 ,0.67,-7.6,1.9,13.91,12.8,2,0,0,0,0.0,0.0,0,0,0,14193,STIS/G140L/G230L/G430L/G750L,3.0
CS Cha ,J11022491-7733357,Sz 9,11h02m24.91s,-77d33m35.7s,Cha I,160,K2 ,1.4,-8.29,0.8,11.86,11.69,2,0,0,0,0.0,0.0,0,0,0,13775|11616,COS/G130M/G160M-STIS/E230M/G140L/G230L/G430L/G750L,3.0
CV Cha,J11122772-7644223,T52,11h12m27.72s,-76d44m22.3s,Cha I,160,K0 ,1.62,-7.48,1.0,10.74,10.98,2,0,0,0,0.0,0.0,0,0,0,11616,STIS/E140M/E230M/G430L,3.0
