target_name_std,target_name_simbad,simbad_link,target_classification,gaia_dr2_id,targ_ra,targ_dec,coordinate_epoch,host_galaxy_name,host_cluster_name,spectral_type,spectral_type_ref,sp_class,temp_class,lum_class,u_mag,u_mag_ref,b_mag,b_mag_ref,v_mag,v_mag_ref,bmv0_mag,bmv0_mag_ref,extinction_ebmv,extinction_ebmv_ref,star_teff,star_teff_ref,surface_gravity,surface_gravity_ref,star_luminosity,star_luminosity_ref,star_radius,star_radius_ref,star_mass,star_mass_ref,rotation_velocity,rotation_velocity_ref,terminal_velocity,terminal_velocity_ref,rate_massloss,rate_massloss_ref,known_binary,known_binary_ref
2dFS 163,2dFS 163,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=2dFS+163,Late O Supergiant,Gaia DR2 4688838203919272832,9.242666803528252,-73.392551913935421,2015.5,SMC,None,O8 Ib(f),2004MNRAS.353..601E,O,8.0,I,13.84,2002AJ....123..855Z,14.95,2002AJ....123..855Z,15.11,2002AJ....123..855Z,-0.27,2006A&A...457..637M,0.11,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,False,None
AV 6,AzV 6,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+6,Late O Giant,Gaia DR2 4685852102139246976,11.325863443271830,-73.256386959765805,2015.5,SMC,None,O9 III,1997A&A...317..871L,O,9.0,III,12.45,2002ApJS..141...81M,13.36,2002ApJS..141...81M,13.31,2002ApJS..141...81M,-0.26,2006A&A...457..637M,0.31,Derived from (B-V)0,,None,,None,,None,,None,,None,,None,,None,,None,True,2017MNRAS.472.2241Z
AV 14,AzV 14,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+14,Early O Dwarf,Gaia DR2 4688857372328703488,11.635977775762196,-73.101550814485591,2015.5,SMC,None,O5 V,2004ApJ...608.1001M,O,5.0,V,12.38,2002ApJS..141...81M,13.38,2002ApJS..141...81M,13.55,2002ApJS..141...81M,-0.28,2006A&A...457..637M,0.11,Derived from (B-V)0,44000.0,2004ApJ...608.1001M,4.00,2004ApJ...608.1001M,5.82,2004ApJ...608.1001M,14.20,2004ApJ...608.1001M,74.0,2004ApJ...608.1001M,261.0,2009ApJ...700..844P,2000.0,2004ApJ...608.1001M,1.00e-07,2004ApJ...608.1001M,False,None
AV 15,AzV 15,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+15,Mid O Bright Giant,Gaia DR2 4685835403303046784,11.675670415721230,-73.415420202316582,2015.5,SMC,None,O6.5 II(f),2000PASP..112.1243W,O,6.5,II,11.90,2002ApJS..141...81M,12.93,2002ApJS..141...81M,13.12,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.10,2021A&A...647A.134B,39000.0,2021A&A...647A.134B,3.61,2021A&A...647A.134B,5.83,2021A&A...647A.134B,18.00,"Derived from L,Teff",47.2,2021A&A...647A.134B,120.0,2021A&A...647A.134B,2050.0,2021A&A...647A.134B,1.10e-06,2021A&A...647A.134B,False,None
AV 16,AzV 16,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+16,Early B Dwarf,Gaia DR2 4685854571724688768,11.729301133995016,-73.142821572102761,2015.5,SMC,None,sgB0[e|,1998A&A...340..117L,B,0.0,I,12.29,2002ApJS..141...81M,13.10,2002ApJS..141...81M,12.97,2002ApJS..141...81M,,None,0.07,1996A&A...309..505Z,,None,,None,,None,,None,,None,,None,,None,,None,True,1996A&A...309..505Z
AV 18,AzV 18,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+18,Early B Supergiant,Gaia DR2 4688950933906863488,11.800913096090937,-73.109203376893959,2015.5,SMC,None,B2 Ia,1997A&A...317..871L,B,2.0,I,11.70,1977A&AS...30..261A,12.49,1977A&AS...30..261A,12.46,1977A&AS...30..261A,-0.17,1970A&A.....4..234F,0.20,Derived from (B-V)0,19000.0,2004A&A...417..217T,2.30,2004A&A...417..217T,5.44,2004A&A...417..217T,49.00,2004A&A...417..217T,28.0,2004A&A...417..217T,49.0,2004A&A...417..217T,325.0,2004ApJ...607..451E,2.30e-07,2004A&A...417..217T,False,None
AV 22,AzV 22,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+22,Mid B Supergiant,Gaia DR2 4685948275085827328,11.911430274494370,-73.130241883552301,2015.5,SMC,None,B5 Ia,1997A&A...317..871L,B,5.0,I,11.53,1980A&AS...42....1A,12.19,1980A&AS...42....1A,12.20,1980A&AS...42....1A,-0.09,1970A&A.....4..234F,0.08,Derived from (B-V)0,14500.0,2004A&A...417..217T,1.90,2004A&A...417..217T,5.04,2004A&A...417..217T,53.00,2004A&A...417..217T,19.0,2004A&A...417..217T,46.0,2004A&A...417..217T,280.0,2004A&A...417..217T,2.30e-07,2004A&A...417..217T,False,None
AV 39a,AzV 39a,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+39a,Mid WN Star,Gaia DR2 4685931438808874496,12.128529694121170,-73.262735940411815,2015.5,SMC,None,WN5ha,2003MNRAS.338..360F,WN,5.0,none,13.08,2002ApJS..141...81M,14.08,2002ApJS..141...81M,14.26,2002ApJS..141...81M,,None,0.10,2015A&A...581A..21H,47000.0,2015A&A...581A..21H,,None,5.57,2015A&A...581A..21H,9.10,2015A&A...581A..21H,43.0,2015A&A...581A..21H,,None,900.0,2015A&A...581A..21H,1.80e-06,2015A&A...581A..21H,False,None
AV 43,AzV 43,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+43,Early B Dwarf,Gaia DR2 4688971141771555072,12.199584762311746,-72.773586436286664,2015.5,SMC,None,B0.5 III,2013ApJ...763..101L,B,0.2,V,12.80,2002ApJS..141...81M,13.76,2002ApJS..141...81M,13.88,2002ApJS..141...81M,-0.30,1970A&A.....4..234F,0.08,2021A&A...647A.134B,28500.0,2021A&A...647A.134B,3.37,2021A&A...647A.134B,5.13,2021A&A...647A.134B,15.10,"Derived from L,Teff",22.4,2021A&A...647A.134B,200.0,2021A&A...647A.134B,1200.0,2021A&A...647A.134B,2.20e-08,2021A&A...647A.134B,False,None
AV 47,AzV 47,https://simbad.u-strasbg.fr/simbad/sim-id?Ident=AzV+47,Late O Giant,Gaia DR2 4685925666371896576,12.214543303177669,-73.432933203508668,2015.5,SMC,None,O8 III((f)),2000PASP..112.1243W,O,8.0,III,12.26,2002ApJS..141...81M,13.26,2002ApJS..141...81M,13.44,2002ApJS..141...81M,-0.27,2006A&A...457..637M,0.05,2021A&A...647A.134B,35000.0,2021A&A...647A.134B,3.75,2021A&A...647A.134B,5.44,2021A&A...647A.134B,14.30,2021A&A...647A.134B,42.2,2021A&A...647A.134B,60.0,2021A&A...647A.134B,2000.0,2021A&A...647A.134B,2.10e-08,2021A&A...647A.134B,False,None
