;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
coj0m405-kb88-20210307-0162-e91.fits.fz  59280.618149538  59280.618500093  5450  1.0758e-15  1.8224e-16
coj0m405-kb88-20210312-0289-e91.fits.fz  59285.603666737  59285.604017200  5450  1.1487e-15  1.9356e-16
lsc0m409-kb29-20210316-0147-e91.fits.fz  59290.202342767  59290.202693334  5450  1.1188e-15  1.7111e-16
coj0m403-kb24-20210614-0099-e91.fits.fz  59379.416911910  59379.417261841  5450  1.0933e-15  1.9697e-16
lsc0m409-kb29-20210616-0150-e91.fits.fz  59382.206938276  59382.207288751  5450  8.9091e-16  1.5508e-16
coj0m403-kb24-20210621-0085-e91.fits.fz  59386.498920753  59386.499270718  5450  8.7473e-16  9.9574e-17
coj0m403-kb24-20210621-0087-e91.fits.fz  59386.509151737  59386.509501702  5450  8.8980e-16  1.1273e-16
lsc0m409-kb29-20210626-0077-e91.fits.fz  59392.062694213  59392.063044653  5450  9.7915e-16  1.8168e-16
coj0m403-kb24-20210627-0204-e91.fits.fz  59392.650190174  59392.650540058  5450  7.4148e-16  1.4542e-16
coj0m403-kb24-20210629-0062-e91.fits.fz  59394.372795440  59394.373145440  5450  9.7478e-16  1.1726e-16
coj0m403-kb24-20210725-0070-e91.fits.fz  59420.356359422  59420.356709329  5450  1.0172e-15  1.4889e-16
lsc0m409-kb29-20210728-0061-e91.fits.fz  59423.964729584  59423.965080174  5450  9.0226e-16  1.6363e-16
coj0m405-kb88-20210924-0066-e91.fits.fz  59481.378493404  59481.378843959  5450  8.3939e-16  8.7763e-17
coj0m403-kb24-20210925-0086-e91.fits.fz  59482.391824272  59482.392174202  5450  1.1181e-15  2.1900e-16
coj0m405-kb88-20210927-0077-e91.fits.fz  59484.392011968  59484.392362454  5450  1.0580e-15  1.6072e-16
lsc0m409-kb29-20210930-0066-e91.fits.fz  59487.993263334  59487.993613924  5450  1.2304e-15  2.0933e-16
coj0m405-kb88-20210307-0163-e91.fits.fz  59280.618723102  59280.618842153  7670  4.8728e-15  3.1848e-16
cpt0m407-kb84-20210308-0633-e91.fits.fz  59281.969396204  59281.969515232  7670  4.2456e-15  7.3481e-16
lsc0m409-kb29-20210310-0261-e91.fits.fz  59284.219864306  59284.219983357  7670  4.8275e-15  8.6388e-16
cpt0m407-kb84-20210311-0217-e91.fits.fz  59284.961789202  59284.961908241  7670  4.5547e-15  4.3812e-16
coj0m405-kb88-20210312-0290-e91.fits.fz  59285.604237443  59285.604356447  7670  5.5274e-15  4.0066e-16
lsc0m412-kb26-20210314-0179-e91.fits.fz  59288.212009202  59288.212128218  7670  4.4386e-15  6.2374e-16
coj0m403-kb24-20210315-0205-e91.fits.fz  59288.593994746  59288.594113160  7670  5.5610e-15  6.2981e-16
lsc0m409-kb29-20210316-0148-e91.fits.fz  59290.202914341  59290.203033334  7670  4.7772e-15  3.7706e-16
lsc0m412-kb26-20210610-0175-e91.fits.fz  59376.285295707  59376.285414734  7670  4.7611e-15  5.1480e-16
lsc0m412-kb26-20210612-0153-e91.fits.fz  59378.274738369  59378.274857396  7670  4.6711e-15  4.7736e-16
coj0m405-kb88-20210615-0092-e91.fits.fz  59380.430516783  59380.430635834  7670  3.7472e-15  3.3679e-16
lsc0m409-kb29-20210616-0151-e91.fits.fz  59382.207497072  59382.207616181  7670  4.1248e-15  3.4055e-16
lsc0m412-kb26-20210618-0177-e91.fits.fz  59384.223907153  59384.224026181  7670  4.6054e-15  5.2126e-16
lsc0m412-kb26-20210619-0066-e91.fits.fz  59384.969542408  59384.969661436  7670  4.0263e-15  6.0100e-16
lsc0m412-kb26-20210619-0169-e91.fits.fz  59385.139723287  59385.139842315  7670  3.7782e-15  4.6262e-16
lsc0m409-kb29-20210620-0077-e91.fits.fz  59385.976211251  59385.976330348  7670  4.2800e-15  3.5971e-16
lsc0m409-kb29-20210620-0214-e91.fits.fz  59386.288164711  59386.288283750  7670  5.2377e-15  3.6946e-16
coj0m403-kb24-20210621-0082-e91.fits.fz  59386.493089919  59386.493208392  7670  4.6060e-15  2.3747e-16
coj0m403-kb24-20210621-0086-e91.fits.fz  59386.499499132  59386.499617547  7670  4.1880e-15  2.3323e-16
coj0m403-kb24-20210621-0088-e91.fits.fz  59386.509735290  59386.509853785  7670  4.5059e-15  2.3712e-16
coj0m403-kb24-20210621-0092-e91.fits.fz  59386.521595950  59386.521714468  7670  4.2687e-15  2.7313e-16
coj0m403-kb24-20210621-0094-e91.fits.fz  59386.530548959  59386.530667454  7670  4.6660e-15  3.1164e-16
coj0m403-kb24-20210621-0101-e91.fits.fz  59386.557039005  59386.557157454  7670  5.6155e-15  9.8922e-16
lsc0m409-kb29-20210621-0068-e91.fits.fz  59386.961002512  59386.961121632  7670  4.8774e-15  4.2528e-16
lsc0m412-kb26-20210622-0074-e91.fits.fz  59387.958322119  59387.958441100  7670  4.0650e-15  6.0148e-16
lsc0m409-kb29-20210626-0078-e91.fits.fz  59392.063251956  59392.063370915  7670  4.6145e-15  3.2605e-16
coj0m403-kb24-20210627-0205-e91.fits.fz  59392.650782616  59392.650901077  7670  4.7464e-15  2.7775e-16
coj0m403-kb24-20210629-0063-e91.fits.fz  59394.373366308  59394.373484769  7670  4.5565e-15  2.3822e-16
lsc0m409-kb29-20210630-0183-e91.fits.fz  59396.255539341  59396.255658288  7670  4.4066e-15  3.6163e-16
lsc0m412-kb26-20210716-0065-e91.fits.fz  59411.956872153  59411.956991181  7670  5.2012e-15  6.2712e-16
lsc0m409-kb29-20210717-0067-e91.fits.fz  59412.959127408  59412.959246470  7670  4.2501e-15  3.5252e-16
lsc0m412-kb26-20210718-0065-e91.fits.fz  59413.957514642  59413.957633670  7670  3.3566e-15  6.0871e-16
lsc0m412-kb26-20210719-0065-e91.fits.fz  59414.957812859  59414.957931887  7670  5.1373e-15  5.5557e-16
lsc0m412-kb26-20210720-0060-e91.fits.fz  59415.960764387  59415.960883415  7670  2.9364e-15  5.5953e-16
lsc0m409-kb29-20210721-0060-e91.fits.fz  59416.961358056  59416.961477153  7670  4.7834e-15  4.2504e-16
lsc0m409-kb29-20210721-0064-e91.fits.fz  59417.088744734  59417.088863820  7670  4.5506e-15  4.0577e-16
lsc0m409-kb29-20210722-0060-e91.fits.fz  59417.961015637  59417.961134700  7670  5.0195e-15  4.0381e-16
lsc0m409-kb29-20210722-0110-e91.fits.fz  59418.186968473  59418.187087558  7670  4.0753e-15  4.3384e-16
lsc0m409-kb29-20210722-0112-e91.fits.fz  59418.193034387  59418.193153415  7670  4.9531e-15  4.1082e-16
lsc0m409-kb29-20210722-0114-e91.fits.fz  59418.203465255  59418.203584260  7670  5.4247e-15  5.6413e-16
lsc0m409-kb29-20210723-0085-e91.fits.fz  59418.991254052  59418.991373126  7670  5.0500e-15  3.8067e-16
lsc0m409-kb29-20210723-0137-e91.fits.fz  59419.122077049  59419.122196146  7670  4.4359e-15  3.5326e-16
lsc0m409-kb29-20210724-0064-e91.fits.fz  59419.969570556  59419.969689596  7670  4.2549e-15  3.5766e-16
coj0m403-kb24-20210725-0071-e91.fits.fz  59420.356929526  59420.357047987  7670  4.1190e-15  4.8770e-16
lsc0m409-kb29-20210725-0070-e91.fits.fz  59420.964381910  59420.964501008  7670  4.1903e-15  3.5152e-16
lsc0m409-kb29-20210726-0066-e91.fits.fz  59421.968438646  59421.968557674  7670  4.6283e-15  4.1548e-16
lsc0m409-kb29-20210727-0062-e91.fits.fz  59422.964730371  59422.964849491  7670  4.7577e-15  4.9316e-16
lsc0m409-kb29-20210728-0062-e91.fits.fz  59423.965293346  59423.965412350  7670  3.6545e-15  3.3812e-16
lsc0m412-kb26-20210729-0074-e91.fits.fz  59424.969065001  59424.969183971  7670  3.7531e-15  5.5110e-16
lsc0m409-kb29-20210730-0067-e91.fits.fz  59425.969404526  59425.969523542  7670  4.5181e-15  3.2223e-16
lsc0m412-kb26-20210731-0075-e91.fits.fz  59427.040814376  59427.040933403  7670  4.3253e-15  4.3861e-16
lsc0m412-kb26-20210802-0069-e91.fits.fz  59428.972343646  59428.972462663  7670  4.1333e-15  5.1761e-16
lsc0m412-kb26-20210803-0139-e91.fits.fz  59430.131883438  59430.132002454  7670  3.6442e-15  5.1163e-16
coj0m405-kb88-20210924-0067-e91.fits.fz  59481.379062339  59481.379181343  7670  4.5245e-15  2.2148e-16
coj0m403-kb24-20210925-0087-e91.fits.fz  59482.392392524  59482.392510984  7670  4.6118e-15  3.7367e-16
lsc0m409-kb29-20210926-0093-e91.fits.fz  59484.024956482  59484.025075463  7670  5.0259e-15  3.9030e-16
coj0m405-kb88-20210927-0078-e91.fits.fz  59484.392587177  59484.392706193  7670  4.5449e-15  3.1599e-16
lsc0m412-kb26-20210928-0062-e91.fits.fz  59485.992822188  59485.992941216  7670  4.0316e-15  6.2150e-16
lsc0m409-kb29-20210930-0067-e91.fits.fz  59487.993825151  59487.993944225  7670  4.2143e-15  3.5917e-16
lsc0m409-kb29-20211001-0076-e91.fits.fz  59488.997462107  59488.997581216  7670  3.6601e-15  3.6711e-16
lsc0m409-kb29-20211003-0085-e91.fits.fz  59490.999175544  59490.999294595  7670  4.4952e-15  3.7171e-16
