59416.5988,ogg0m404-kb82-20210720-0168-e91.fits.fz,ogg0m404-kb82-20210720-0171-e91.fits.fz
59417.2044,tfn0m414-kb93-20210721-0128-e91.fits.fz,tfn0m414-kb93-20210721-0131-e91.fits.fz
59418.2016,tfn0m414-kb93-20210722-0219-e91.fits.fz,tfn0m414-kb93-20210722-0222-e91.fits.fz
59419.1989,tfn0m414-kb93-20210723-0175-e91.fits.fz,tfn0m414-kb93-20210723-0178-e91.fits.fz
59420.6135,ogg0m404-kb82-20210724-0163-e91.fits.fz,
59421.1935,tfn0m410-kb98-20210725-0311-e91.fits.fz,tfn0m410-kb98-20210725-0314-e91.fits.fz
59422.1908,tfn0m414-kb93-20210726-1052-e91.fits.fz,tfn0m414-kb93-20210726-1055-e91.fits.fz
59423.188,tfn0m414-kb93-20210727-0114-e91.fits.fz,tfn0m414-kb93-20210727-0117-e91.fits.fz
59424.1853,tfn0m414-kb93-20210728-0128-e91.fits.fz,tfn0m414-kb93-20210728-0131-e91.fits.fz
59425.1825,tfn0m414-kb93-20210729-0113-e91.fits.fz,tfn0m414-kb93-20210729-0116-e91.fits.fz
59426.1801,tfn0m414-kb93-20210730-0123-e91.fits.fz,tfn0m414-kb93-20210730-0126-e91.fits.fz
59436.188,tfn0m410-kb98-20210809-0392-e91.fits.fz,tfn0m410-kb98-20210809-0395-e91.fits.fz
59437.2112,tfn0m410-kb98-20210810-0246-e91.fits.fz,tfn0m410-kb98-20210810-0249-e91.fits.fz
59438.2043,tfn0m410-kb98-20210811-0249-e91.fits.fz,tfn0m410-kb98-20210811-0252-e91.fits.fz
59439.1709,tfn0m410-kb98-20210812-0213-e91.fits.fz,tfn0m410-kb98-20210812-0216-e91.fits.fz
59440.1681,tfn0m410-kb98-20210813-0202-e91.fits.fz,tfn0m410-kb98-20210813-0205-e91.fits.fz
59441.1824,tfn0m410-kb98-20210814-0186-e91.fits.fz,tfn0m410-kb98-20210814-0189-e91.fits.fz
59442.5622,ogg0m406-kb27-20210815-0304-e91.fits.fz,ogg0m406-kb27-20210815-0307-e91.fits.fz
59443.18,tfn0m410-kb98-20210816-0223-e91.fits.fz,tfn0m410-kb98-20210816-0226-e91.fits.fz
59444.1583,tfn0m410-kb98-20210817-0537-e91.fits.fz,tfn0m410-kb98-20210817-0540-e91.fits.fz
59445.1575,tfn0m410-kb98-20210818-0213-e91.fits.fz,tfn0m410-kb98-20210818-0216-e91.fits.fz
59446.578,ogg0m406-kb27-20210819-0208-e91.fits.fz,ogg0m406-kb27-20210819-0211-e91.fits.fz
59447.3921,elp0m411-kb92-20210820-0109-e91.fits.fz,
59448.2007,tfn0m410-kb98-20210821-0185-e91.fits.fz,tfn0m410-kb98-20210821-0188-e91.fits.fz
59449.1436,tfn0m410-kb98-20210822-0175-e91.fits.fz,tfn0m410-kb98-20210822-0178-e91.fits.fz
59450.141,tfn0m410-kb98-20210823-0440-e91.fits.fz,tfn0m410-kb98-20210823-0443-e91.fits.fz
59451.1383,tfn0m410-kb98-20210824-0156-e91.fits.fz,tfn0m410-kb98-20210824-0159-e91.fits.fz
