#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-05-13T14:55:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ627e6ea9187225	
#INFO	-out.max=unlimited	
#INFO	queryParameters=50	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-sort=_r
#-nav=cat:I/353&tab:{I/353/gsc242}&key:source=I/353&HTTPPRM:&
#-c=237.509 -49.510
#-c.eq=J2000
#-c.r=  19
#-c.u=arcmin
#-c.geom=r
#-source=I/353/gsc242
#-order=I
#-out.orig=standard
#-out=GSC2
#-out=RA_ICRS
#-out=DE_ICRS
#-out=objID
#-out=Epoch
#-out=Class
#Class==0
#-out=Gmag
#-out=OMag
#-out=Bjmag
#-out=Fpgmag
#-out=Epgmag
#-out=Npgmag
#-out=Umag
#-out=Bmag
#-out=Vmag
#-out=umag
#umag=<15
#-out=gmag
#-out=rmag
#-out=imag
#-out=zmag
#-out=ymag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=Zmag
#-out=Ymag
#-out=W1mag
#-out=W2mag
#-out=W3mag
#-out=W4mag
#-out=FUVmag
#-out=NUVmag
#-out=a
#-out=e
#-out=PA
#
#INFO	-c=237.509000-49.510000,rm=19.	
#Constraint -bmark=POST

#RESOURCE=yCat_1353
#Name: I/353
#Title: The Guide Star Catalog, Version 2.4.2 (GSC2.4.2) (STScI, 2020)
#Coosys	H:	ICRS
#Table	I_353_gsc242:
#Name: I/353/gsc242
#Title: records of GSC 2.4.2
#Column	_r	(F7.4)	Distance from center (237.50900000000-49.51000000000)[ICRS], at Epoch of catalog (Epoch)	[ucd=pos.angDistance]
#Column	GSC2	(a10)	GSC2 Public ID (hstID)	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F15.11)	Right Ascension (ICRS) at Ep=Epoch (ra)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F15.11)	Declination (ICRS) at Ep=Epoch (dec)	[ucd=pos.eq.dec;meta.main]
#Column	objID	(I15)	Database ID	[ucd=meta.id;meta.dataset]
#Column	Epoch	(F9.3)	Epoch of coordinate	[ucd=time.epoch]
#Column	Class	(I1)	[0/4]? Object classification code (classification) (1) [NULL integer written as an empty string]	[ucd=meta.code.class]
#Column	Gmag	(F9.6)	? Gaia G band magnitude (gaiaGmag)	[ucd=phot.mag;em.opt]
#Column	OMag	(F9.6)	? Photographic O band magnitude (OpgMag)	[ucd=phot.mag;em.opt.B]
#Column	Bjmag	(F9.6)	? Photographic Blue magnitude (JpgMag)	[ucd=phot.mag;em.opt.B]
#Column	Fpgmag	(F9.6)	? Photographic Red magnitude (FpgMag)	[ucd=phot.mag;em.opt.R]
#Column	Epgmag	(F9.6)	? Photographic E band magnitude (EpgMag)	[ucd=phot.mag;em.opt.R]
#Column	Npgmag	(F9.6)	? Photographic Near-IR magnitude (NpgMag)	[ucd=phot.mag;em.opt.I]
#Column	Umag	(F9.6)	? U band magnitude	[ucd=phot.mag;em.opt.U]
#Column	Bmag	(F9.6)	? B band magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F9.6)	? V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	umag	(F6.3)	? SDSS u band magnitude (SDSSuMag)	[ucd=phot.mag;em.opt.U]
#Column	gmag	(F7.3)	? SDSS g band magnitude (SDSSgMag)	[ucd=phot.mag;em.opt.B]
#Column	rmag	(F6.3)	? SDSS r band magnitude (SDSSrMag)	[ucd=phot.mag;em.opt.R]
#Column	imag	(F6.3)	? SDSS i band magnitude (SDSSiMag)	[ucd=phot.mag;em.opt.I]
#Column	zmag	(F6.3)	? SDSS z band magnitude (SDSSzMag)	[ucd=phot.mag;em.opt.I]
#Column	ymag	(F7.4)	? PanSTARRS y band magnitude (PS1yMag)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J band magnitude (tmassJmag)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H band magnitude (tmassHmag)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks band magnitude (tmassKsmag)	[ucd=phot.mag;em.IR.K]
#Column	Zmag	(F6.3)	? VISTA Z band magnitude (VistaZMag)	[ucd=phot.mag;em.opt.I]
#Column	Ymag	(F7.3)	? VISTA Y band magnitude (VistaYmag)	[ucd=phot.mag;em.IR.J]
#Column	W1mag	(F6.3)	? WISE W1 (3.4um) band magnitude (WISEw1Mag)	[ucd=phot.mag;em.IR.3-4um]
#Column	W2mag	(F6.3)	? WISE W2 (4.6um) band magnitude (WISEw2Mag)	[ucd=phot.mag;em.IR.4-8um]
#Column	W3mag	(F6.3)	? WISE W3 (12um) band magnitude (WISEw3Mag)	[ucd=phot.flux.density;em.IR.8-15um]
#Column	W4mag	(F6.3)	? WISE W4 (22um) band magnitude (WISEw4Mag)	[ucd=phot.flux.density;em.IR.15-30um]
#Column	FUVmag	(F6.3)	? GALEX FUV band magnitude	[ucd=phot.mag;em.UV]
#Column	NUVmag	(F6.3)	? GALEX NUV band magnitude	[ucd=phot.mag;em.UV]
#Column	a	(F9.3)	? SemiMajor diameter of object (gsc2semiMajorAxis)	[ucd=phys.angSize]
#Column	e	(F6.3)	? Eccentricity of object (gsc2eccentricity)	[ucd=src.orbital.eccentricity]
#Column	PA	(F5.1)	? Position Angle (North thru East) (gsc2positionAngle)	[ucd=pos.posAng;instr.det]
_r;GSC2;RA_ICRS;DE_ICRS;objID;Epoch;Class;Gmag;OMag;Bjmag;Fpgmag;Epgmag;Npgmag;Umag;Bmag;Vmag;umag;gmag;rmag;imag;zmag;ymag;Jmag;Hmag;Ksmag;Zmag;Ymag;W1mag;W2mag;W3mag;W4mag;FUVmag;NUVmag;a;e;PA
arcmin; ;deg;deg; ;yr; ;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;mag;pix;pix;pix
-------;----------;---------------;---------------;---------------;---------;-;---------;---------;---------;---------;---------;---------;---------;---------;---------;------;-------;------;------;------;-------;-------;-------;-------;------;-------;------;------;------;------;------;------;---------;------;-----
 1.6409;S8U7012712;237.54758504888;-49.52096992656;  2230233312712; 2015.500;0;13.460069;         ;14.127600;12.861300;         ;12.444600;         ;14.155000;13.615000;14.701; 13.825;13.473;13.226;      ;       ; 12.383; 12.103; 12.044;      ;       ;11.856;11.908;11.634; 9.060;      ;      ;    7.148; 0.331; 24.6
 2.9484;S8U7000604;237.43677934651;-49.49533802478;    22302333604; 2015.500;0;12.482092;         ;         ;         ;         ;         ;         ;13.165000;12.604000;13.794; 12.844;12.431;12.274;      ;       ; 11.486; 11.152; 11.116;      ;       ;10.835;10.901;11.150; 8.567;      ;      ;         ;      ;
 3.1966;S8U7000579;237.48481322233;-49.45909266852;    22302333579; 2015.500;0;19.410839;         ;         ;         ;         ;         ;         ;12.494000;11.909000;13.174; 12.169;11.745;11.630;      ;       ; 10.696; 10.455; 10.405;      ;       ;10.354;10.373;10.208; 8.438;      ;      ;         ;      ;
 3.5074;S8U7000650;237.46655379223;-49.56156024062;    22302333650; 2015.500;0;11.876119;         ;         ;         ;         ;         ;         ;12.448000;11.991000;13.359; 12.176;11.879;11.757;      ;       ; 10.962; 10.795; 10.717;      ;       ;10.676;10.724;10.614; 8.252;      ;      ;         ;      ;
 3.5102;S8U7000646;237.57049925542;-49.55277245156;    22302333646; 2015.500;0;12.347066;         ;13.047000;12.137600;         ;11.989700;         ;12.933000;12.440000;13.564; 12.651;12.328;12.248;      ;       ; 11.403; 11.188; 11.160;      ;       ;11.132;11.158;10.916; 8.785;      ;      ;    7.470; 0.195; 17.8
 3.7385;S8U7100179;237.60453467068;-49.51590355585; 22302333100179; 2015.500;0; 8.730904;         ;         ;         ;         ;         ;         ; 9.340000; 8.870000; 9.894;  9.219; 8.826; 8.937;      ;       ;       ;       ;       ;      ;       ; 7.563; 7.593; 7.612; 7.763;      ;      ;         ;      ;  0.0
 3.8962;S8U7014127;237.42197965588;-49.47802945666;  2230233314127; 2015.500;0;13.246577;         ;14.407600;13.024200;         ;12.728000;         ;14.158000;13.467000;14.841; 13.778;13.257;13.042;      ;       ; 11.930; 11.634; 11.574;      ;       ;11.483;11.506;11.601; 8.803;      ;      ;    5.902; 0.155; 32.0
 4.8760;S8U7000638;237.39250055610;-49.53975925846;    22302333638; 2015.500;0;11.816895;         ;12.238300;11.748100;         ;11.706800;         ;12.201000;11.855000;13.051; 11.984;11.828;11.837;      ;       ; 11.128; 10.946; 10.916;      ;       ;10.763;10.744;10.209; 7.994;      ;      ;    7.618; 0.111;  7.7
 4.8939;S8U7000640;237.62337570125;-49.54378118091;    22302333640; 2015.500;0;11.424609;         ;         ;         ;         ;         ;         ;12.049000;11.550000;13.203; 11.803;11.430;11.288;      ;       ; 10.334; 10.218; 10.109;      ;       ; 9.941; 9.959;10.218; 9.187;      ;      ;         ;      ;
 4.9464;S8U7000565;237.45213456622;-49.43630569570;    22302333565; 2015.500;0;13.074088;         ;14.020700;12.695900;         ;12.378000;         ;         ;13.379000;14.503; 13.538;13.035;12.935;      ;       ; 11.928; 11.641; 11.603;      ;       ;11.413;11.422;11.106; 8.972;      ;      ;    6.236; 0.083;172.3
 5.4694;S8U7000586;237.63492661318;-49.46977096615;    22302333586; 2015.500;0;13.003983;         ;13.715200;12.913900;         ;12.031200;         ;         ;         ;14.390; 13.266;12.952;12.864;      ;       ; 11.846; 11.586; 11.506;      ;       ;      ;      ;      ;      ;      ;      ;    6.671; 0.229;166.4
 5.8557;S8U7000562;237.59867199930;-49.43171105230;    22302333562; 2015.500;0;11.563300;         ;         ;         ;         ;         ;         ;12.004000;11.621000;12.403; 11.812;11.568;11.532;      ;       ; 10.758; 10.640; 10.519;      ;       ;10.456;10.493;10.723; 8.541;      ;      ;         ;      ;
 5.9994;S8U7000546;237.47389921792;-49.41264745163;    22302333546; 2015.500;0;10.886994;         ;         ;         ;         ;         ;         ;12.589000;11.304000;14.278; 11.912;10.865;10.492;      ;       ;  8.958;  8.365;  8.168;      ;       ; 8.113; 8.206; 8.137; 8.416;      ;      ;         ;      ;
 6.0207;S8U7000662;237.43235859163;-49.59716091018;    22302333662; 2015.500;0;12.307858;         ;13.169600;12.085300;         ;11.632200;         ;13.045000;12.436000;13.683; 12.706;12.254;12.129;      ;       ; 11.110; 10.934; 10.884;      ;       ;10.467;10.532;10.468; 7.993;      ;      ;    7.236; 0.165; 68.4
 6.3696;S8U7000557;237.42237514509;-49.41999785717;    22302333557; 2015.500;0;10.536026;         ;         ;         ;         ;         ;         ;10.749000;10.545000;11.419; 10.751;10.612;10.776;      ;       ; 10.200; 10.151; 10.101;      ;       ;10.084;10.153;10.110; 8.913;      ;      ;         ;      ;
 6.4374;S8U7000596;237.34858905057;-49.48437613372;    22302333596; 2015.500;0;12.392924;         ;         ;         ;         ;         ;         ;13.034000;12.519000;13.766; 12.747;12.365;12.259;      ;       ; 11.384; 11.125; 11.041;      ;       ;10.926;10.958;10.797; 8.375;      ;      ;         ;      ;
 6.8039;S8U7000603;237.68190087704;-49.49415538529;    22302333603; 2015.500;0;12.469440;         ;         ;         ;         ;         ;         ;12.679000;12.369000;14.339; 12.696;12.440;12.378;      ;       ; 11.252; 11.133; 10.979;      ;       ;10.861;10.865;11.190; 9.063;      ;      ;         ;      ;
