dataset_name,observatory,instrument,proposid,detector,grating,filter,cenwave,aperture,lifetime_pos,obs_date_mjd,obs_date_isot,target_name,target_name_hlsp,coadd,exp_timeseries,subexp_timeseries,drizzled,custom_cal,star_region,ullyses_obs,archival_obs,qual_comm
lea2acdbq,HST,COS,16100,FUV,G130M,N/A,1291,PSA,4,59131.21594,2020-10-09T05:10:56.822,2DFS-163,2DFS-163,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lea2acdfq,HST,COS,16100,FUV,G130M,N/A,1291,PSA,4,59131.23506,2020-10-09T05:38:28.822,2DFS-163,2DFS-163,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lea2acdhq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.24978,2020-10-09T05:59:40.822,2DFS-163,2DFS-163,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lea2acdjq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.26514,2020-10-09T06:21:47.798,2DFS-163,2DFS-163,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lea2acdlq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.2805,2020-10-09T06:43:54.806,2DFS-163,2DFS-163,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lea2acdnq,HST,COS,16100,FUV,G160M,N/A,1611,PSA,4,59131.30106,2020-10-09T07:13:31.798,2DFS-163,2DFS-163,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehg1csgq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59423.91361,2021-07-28T21:55:36.017,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehg1csxq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59423.97976,2021-07-28T23:30:51.025,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgfcnoq,HST,COS,16370,FUV,G130M,N/A,1291,PSA,5,59686.39184,2022-04-17T09:24:14.761,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgfcnqq,HST,COS,16370,FUV,G130M,N/A,1291,PSA,5,59686.39809,2022-04-17T09:33:14.793,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgfcnsq,HST,COS,16370,FUV,G160M,N/A,1611,PSA,4,59686.40577,2022-04-17T09:44:18.792,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgfcnuq,HST,COS,16370,FUV,G160M,N/A,1611,PSA,4,59686.41236,2022-04-17T09:53:47.753,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgfcnwq,HST,COS,16370,FUV,G160M,N/A,1611,PSA,4,59686.41894,2022-04-17T10:03:16.776,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgkcfcq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59797.72009,2022-08-06T17:16:55.785,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgkcfeq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59797.7806,2022-08-06T18:44:03.785,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
lehgkcfgq,HST,COS,16370,FUV,G130M,N/A,1096,PSA,2,59797.78311,2022-08-06T18:47:40.777,2DFS-2266,2DFS-2266,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
letw1cx5q,HST,COS,16803,FUV,G130M,N/A,1096,PSA,2,59761.58724,2022-07-01T14:05:37.768,2DFS-2553,2DFS-2553,TRUE,FALSE,FALSE,FALSE,,SMC,TRUE,FALSE,
