;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
lsc0m412-kb26-20201218-0172-e91.fits.fz  59202.342724051  59202.348514421  3560  3.8908e-14  1.1545e-15
lsc0m412-kb26-20201219-0153-e91.fits.fz  59203.345841077  59203.351631402  3560  4.5761e-14  1.0775e-15
lsc0m412-kb26-20201220-0179-e91.fits.fz  59204.345957998  59204.351748323  3560  4.8573e-14  8.5038e-16
lsc0m412-kb26-20201221-0168-e91.fits.fz  59205.349125614  59205.354915972  3560  2.5527e-14  7.5253e-16
coj0m405-kb56-20201222-0133-e91.fits.fz  59205.736174074  59205.741964549  3560  3.4710e-14  1.6507e-15
coj0m405-kb56-20201224-0186-e91.fits.fz  59207.723855058  59207.729645602  3560  3.5510e-14  4.9512e-16
lsc0m409-kb29-20201225-0198-e91.fits.fz  59209.315719734  59209.321510093  3560  7.6862e-14  9.4692e-16
lsc0m409-kb29-20201226-0169-e91.fits.fz  59210.221108866  59210.226899225  3560  7.5066e-14  2.2861e-15
coj0m405-kb88-20210225-0186-e91.fits.fz  59270.623983589  59270.629773936  3560  6.1449e-14  6.2188e-16
cpt0m407-kb84-20210226-0328-e91.fits.fz  59272.033953218  59272.039743588  3560  4.0532e-14  8.7557e-16
coj0m405-kb88-20210227-0081-e91.fits.fz  59272.678269943  59272.684060232  3560  5.2656e-14  5.9498e-16
lsc0m409-kb29-20210228-0128-e91.fits.fz  59274.141387466  59274.147177709  3560  5.8871e-14  1.1240e-15
coj0m405-kb88-20210301-0053-e91.fits.fz  59274.430813346  59274.436603716  3560  5.9952e-14  7.6441e-16
coj0m405-kb88-20210302-0074-e91.fits.fz  59275.428013044  59275.433803461  3560  7.1107e-14  7.0830e-16
coj0m405-kb88-20210303-0094-e91.fits.fz  59276.444955764  59276.450746134  3560  6.0547e-14  8.9973e-16
coj0m405-kb88-20210304-0065-e91.fits.fz  59277.488023681  59277.493813959  3560  4.8496e-14  6.2103e-16
coj0m405-kb88-20210305-0090-e91.fits.fz  59278.425962339  59278.431752617  3560  2.6240e-14  6.7778e-16
coj0m405-kb88-20210306-0083-e91.fits.fz  59279.418940452  59279.424730741  3560  1.0328e-13  9.4767e-16
coj0m405-kb88-20210329-0006-e91.fits.fz  59302.381609757  59302.387400035  3560  5.0513e-14  7.3591e-16
lsc0m409-kb29-20210329-0074-e91.fits.fz  59303.077588091  59303.083378369  3560  3.3453e-14  1.2083e-15
coj0m405-kb88-20210330-0052-e91.fits.fz  59303.382015301  59303.387805660  3560  1.1426e-13  1.4360e-15
cpt0m407-kb84-20210330-0105-e91.fits.fz  59303.783835324  59303.789625672  3560  6.9127e-14  1.0905e-15
lsc0m409-kb29-20210330-0107-e91.fits.fz  59304.072776864  59304.078567142  3560  9.4881e-14  1.1571e-15
coj0m403-kb24-20210331-0081-e91.fits.fz  59304.395289676  59304.401079352  3560  1.0435e-13  6.0553e-16
coj0m403-kb24-20210331-0084-e91.fits.fz  59304.405697200  59304.411486933  3560  1.1079e-13  6.0787e-16
coj0m403-kb24-20210331-0087-e91.fits.fz  59304.416117941  59304.421907617  3560  1.0499e-13  5.9538e-16
cpt0m407-kb84-20210331-0093-e91.fits.fz  59304.758099306  59304.763889653  3560  6.6063e-14  8.9435e-16
lsc0m409-kb29-20210331-0107-e91.fits.fz  59305.058288184  59305.064078426  3560  5.9863e-14  1.0722e-15
coj0m405-kb88-20210401-0077-e91.fits.fz  59305.384361366  59305.390151725  3560  6.6404e-14  5.9251e-16
coj0m405-kb88-20210401-0093-e91.fits.fz  59305.453746748  59305.459538565  3560  7.0975e-14  5.4153e-16
coj0m403-kb24-20210401-0108-e91.fits.fz  59305.464088288  59305.469877987  3560  8.3999e-14  5.4273e-16
coj0m405-kb88-20210401-0109-e91.fits.fz  59305.474491980  59305.480282292  3560  8.0983e-14  5.6143e-16
coj0m403-kb24-20210401-0120-e91.fits.fz  59305.484915081  59305.490704746  3560  8.6556e-14  5.3704e-16
cpt0m407-kb84-20210401-0140-e91.fits.fz  59305.802301250  59305.808091609  3560  4.1760e-14  1.1501e-15
coj0m405-kb88-20210402-0076-e91.fits.fz  59306.381481540  59306.387271887  3560  3.9190e-14  5.5961e-16
cpt0m407-kb84-20210402-0167-e91.fits.fz  59306.825214445  59306.831004781  3560  5.8894e-14  8.6504e-16
lsc0m409-kb29-20210402-0091-e91.fits.fz  59307.087502246  59307.093292570  3560  1.0027e-13  1.1126e-15
lsc0m409-kb29-20210402-0121-e91.fits.fz  59307.174473334  59307.180263624  3560  5.3289e-14  1.0727e-15
lsc0m409-kb29-20210402-0124-e91.fits.fz  59307.184872223  59307.190662605  3560  2.0962e-14  9.6117e-16
