;File (Wave in A; Flux in erg/s/cm2/A)   MJD_start        MJD_end          Wave  Flux        Unc       
ogg0m404-kb82-20210720-0168-e91.fits.fz  59416.598778322  59416.604564619  3560  1.2676e-15  1.4962e-16
tfn0m414-kb93-20210721-0128-e91.fits.fz  59417.204361320  59417.210151656  3560  9.7281e-15  1.9439e-16
tfn0m414-kb93-20210722-0219-e91.fits.fz  59418.201627905  59418.207418288  3560  7.8544e-15  1.3157e-16
tfn0m414-kb93-20210723-0175-e91.fits.fz  59419.198910058  59419.204700290  3560  5.2162e-15  2.3290e-16
ogg0m404-kb82-20210724-0163-e91.fits.fz  59420.613542408  59420.619328623  3560  2.1750e-14  3.3459e-16
tfn0m414-kb93-20210726-1052-e91.fits.fz  59422.190802466  59422.196592744  3560  4.0238e-15  4.1599e-16
tfn0m414-kb93-20210727-0114-e91.fits.fz  59423.187991077  59423.193781389  3560  3.6197e-15  1.6133e-16
tfn0m414-kb93-20210728-0128-e91.fits.fz  59424.185301008  59424.191091355  3560  3.7009e-15  1.2871e-16
tfn0m414-kb93-20210730-0123-e91.fits.fz  59426.180108114  59426.185899862  3560  5.2296e-15  1.7033e-16
tfn0m410-kb98-20210809-0392-e91.fits.fz  59436.188060244  59436.193850579  3560  4.0435e-15  1.6153e-16
tfn0m410-kb98-20210810-0246-e91.fits.fz  59437.211201517  59437.216991875  3560  2.3401e-15  1.3870e-16
tfn0m410-kb98-20210811-0249-e91.fits.fz  59438.204281875  59438.210072315  3560  2.1782e-15  1.2816e-16
tfn0m410-kb98-20210812-0213-e91.fits.fz  59439.170941598  59439.176731945  3560  2.3836e-15  1.7959e-16
tfn0m410-kb98-20210813-0202-e91.fits.fz  59440.168155232  59440.173945602  3560  2.6795e-15  2.2413e-16
tfn0m410-kb98-20210814-0186-e91.fits.fz  59441.182398345  59441.188188715  3560  3.5905e-15  4.0513e-16
ogg0m406-kb27-20210815-0304-e91.fits.fz  59442.562245834  59442.568032199  3560  2.9385e-15  6.1236e-17
tfn0m410-kb98-20210816-0223-e91.fits.fz  59443.179955417  59443.185745857  3560  3.1580e-15  2.5408e-16
tfn0m410-kb98-20210817-0537-e91.fits.fz  59444.158338866  59444.164129248  3560  2.1066e-15  2.1294e-16
ogg0m406-kb27-20210819-0208-e91.fits.fz  59446.577970267  59446.583756749  3560  3.1336e-15  6.2132e-17
elp0m411-kb92-20210820-0109-e91.fits.fz  59447.392147860  59447.397938253  3560  1.9248e-15  2.6064e-16
tfn0m410-kb98-20210821-0185-e91.fits.fz  59448.200726621  59448.206517003  3560  3.0265e-15  1.3935e-16
tfn0m410-kb98-20210822-0175-e91.fits.fz  59449.143658785  59449.149449202  3560  3.4208e-15  1.7284e-16
tfn0m410-kb98-20210823-0440-e91.fits.fz  59450.141039549  59450.146829977  3560  4.0306e-15  2.0762e-16
tfn0m410-kb98-20210824-0156-e91.fits.fz  59451.138278461  59451.144068855  3560  1.4307e-15  1.6062e-16
